origin,destination,route_id,route_label,route_distance_km,avg_speed_kmh,traffic_level,estimated_time_min,estimated_energy_kWh,driving_style,vehicle_model,weather,is_optimal
Ratnapura,Colombo,Ratnapura_Colombo_C,C,30,34,low,52,4.86,Normal,Model 3,heavy_rain,1
Matara,Ratnapura,Matara_Ratnapura_A,A,87,55,medium,99,19.419,Aggressive,Atto 3,cloudy,0
Matara,Ratnapura,Matara_Ratnapura_B,B,87,34,medium,161,16.965,Aggressive,Model 3,sunny,0
Matara,Ratnapura,Matara_Ratnapura_C,C,76,47,low,97,11.82,Eco,Leaf,heavy_rain,1
Colombo,Kurunegala,Colombo_Kurunegala_A,A,84,71,low,70,17.69,Aggressive,Model 3,heavy_rain,0
Colombo,Kurunegala,Colombo_Kurunegala_B,B,79,45,low,105,13.564,Normal,Atto 3,cloudy,1
Colombo,Kurunegala,Colombo_Kurunegala_C,C,91,51,medium,112,14.742,Eco,ZS EV,sunny,0
Matara,Kurunegala,Matara_Kurunegala_A,A,37,56,low,39,9.351,Aggressive,ZS EV,heavy_rain,0
Matara,Kurunegala,Matara_Kurunegala_B,B,32,41,high,56,4.608,Eco,Leaf,sunny,1
Matara,Kurunegala,Matara_Kurunegala_C,C,32,47,low,40,5.161,Eco,Leaf,monsoon,0
Ratnapura,Colombo,Ratnapura_Colombo_A,A,55,72,high,54,9.444,Normal,Atto 3,cloudy,1
Ratnapura,Colombo,Ratnapura_Colombo_B,B,67,55,medium,76,11.578,Normal,Leaf,heavy_rain,0
Ratnapura,Colombo,Ratnapura_Colombo_C,C,70,36,high,140,11.312,Normal,Leaf,cloudy,0
Galle,Batticaloa,Galle_Batticaloa_A,A,75,55,medium,85,12.12,Normal,Leaf,cloudy,1
Galle,Batticaloa,Galle_Batticaloa_B,B,78,55,high,102,15.163,Normal,ZS EV,heavy_rain,0
Galle,Batticaloa,Galle_Batticaloa_C,C,79,50,medium,99,20.704,Aggressive,ZS EV,monsoon,0
Colombo,Trincomalee,Colombo_Trincomalee_A,A,61,55,medium,69,10.681,Normal,Atto 3,light_rain,0
Colombo,Trincomalee,Colombo_Trincomalee_B,B,62,38,high,117,10.645,Normal,Atto 3,cloudy,0
Colombo,Trincomalee,Colombo_Trincomalee_C,C,55,23,high,172,8.499,Eco,Atto 3,cloudy,1
Kurunegala,Matara,Kurunegala_Matara_A,A,79,47,high,121,12.64,Normal,Leaf,sunny,1
Kurunegala,Matara,Kurunegala_Matara_B,B,101,73,high,99,15.604,Normal,Model 3,light_rain,0
Kurunegala,Matara,Kurunegala_Matara_C,C,88,42,medium,132,13.2,Normal,Model 3,sunny,0
Anuradhapura,Colombo,Anuradhapura_Colombo_A,A,97,54,low,107,16.49,Normal,Atto 3,sunny,0
Anuradhapura,Colombo,Anuradhapura_Colombo_B,B,93,59,medium,99,18.079,Normal,ZS EV,heavy_rain,0
Anuradhapura,Colombo,Anuradhapura_Colombo_C,C,87,36,medium,152,12.653,Eco,Leaf,cloudy,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_A,A,31,67,high,33,5.636,Normal,ZS EV,cloudy,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_B,B,36,46,high,56,6.048,Normal,Model 3,monsoon,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_C,C,29,56,high,37,4.93,Normal,Atto 3,sunny,1
Anuradhapura,Galle,Anuradhapura_Galle_A,A,48,65,high,53,7.272,Normal,Model 3,cloudy,1
Anuradhapura,Galle,Anuradhapura_Galle_B,B,55,56,high,70,8.888,Normal,Leaf,cloudy,0
Anuradhapura,Galle,Anuradhapura_Galle_C,C,61,69,high,63,10.474,Normal,Atto 3,cloudy,0
Galle,Colombo,Galle_Colombo_A,A,72,40,medium,113,13.09,Normal,ZS EV,cloudy,0
Galle,Colombo,Galle_Colombo_B,B,68,50,high,97,10.302,Normal,Model 3,cloudy,1
Galle,Colombo,Galle_Colombo_C,C,74,61,high,87,11.435,Eco,Atto 3,cloudy,0
Colombo,Kandy,Colombo_Kandy_A,A,132,53,low,149,30.047,Aggressive,Atto 3,light_rain,0
Colombo,Kandy,Colombo_Kandy_B,B,97,36,high,194,24.009,Aggressive,Atto 3,monsoon,1
Colombo,Kandy,Colombo_Kandy_C,C,130,36,high,260,24.102,Normal,ZS EV,light_rain,0
Anuradhapura,Kandy,Anuradhapura_Kandy_A,A,67,75,medium,56,12.06,Normal,ZS EV,sunny,0
Anuradhapura,Kandy,Anuradhapura_Kandy_B,B,70,52,low,80,12.852,Normal,Atto 3,heavy_rain,0
Anuradhapura,Kandy,Anuradhapura_Kandy_C,C,56,54,medium,65,8.145,Eco,Leaf,cloudy,1
Kandy,Colombo,Kandy_Colombo_A,A,37,59,low,37,7.193,Normal,ZS EV,heavy_rain,0
Kandy,Colombo,Kandy_Colombo_B,B,36,46,low,46,8.677,Aggressive,ZS EV,light_rain,0
Kandy,Colombo,Kandy_Colombo_C,C,38,43,low,53,5.871,Normal,Model 3,light_rain,1
Galle,Colombo,Galle_Colombo_A,A,88,56,medium,99,15.998,Normal,ZS EV,cloudy,0
Galle,Colombo,Galle_Colombo_B,B,86,64,low,80,14.173,Normal,Leaf,light_rain,1
Galle,Colombo,Galle_Colombo_C,C,89,40,medium,140,14.026,Eco,Atto 3,light_rain,0
Matara,Trincomalee,Matara_Trincomalee_A,A,61,61,low,60,9.425,Normal,Model 3,light_rain,0
Matara,Trincomalee,Matara_Trincomalee_B,B,55,66,medium,52,8.91,Normal,Model 3,heavy_rain,0
Matara,Trincomalee,Matara_Trincomalee_C,C,55,55,medium,63,8.25,Normal,Model 3,sunny,1
Galle,Batticaloa,Galle_Batticaloa_A,A,54,65,low,49,8.748,Eco,ZS EV,sunny,0
Galle,Batticaloa,Galle_Batticaloa_B,B,49,40,medium,77,8.33,Normal,Atto 3,sunny,1
Galle,Batticaloa,Galle_Batticaloa_C,C,56,47,high,85,13.046,Aggressive,Leaf,monsoon,0
Galle,Trincomalee,Galle_Trincomalee_A,A,113,60,high,135,20.747,Normal,Atto 3,heavy_rain,0
Galle,Trincomalee,Galle_Trincomalee_B,B,112,49,medium,144,20.765,Normal,ZS EV,light_rain,0
Galle,Trincomalee,Galle_Trincomalee_C,C,108,36,high,216,15.746,Eco,Model 3,heavy_rain,1
Jaffna,Batticaloa,Jaffna_Batticaloa_A,A,25,50,low,30,3.888,Eco,Leaf,heavy_rain,0
Jaffna,Batticaloa,Jaffna_Batticaloa_B,B,28,39,high,51,4.153,Eco,Leaf,light_rain,0
Jaffna,Batticaloa,Jaffna_Batticaloa_C,C,26,60,medium,27,3.781,Eco,Leaf,cloudy,1
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_A,A,107,45,high,171,16.532,Normal,Model 3,light_rain,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_B,B,100,63,medium,99,15.12,Eco,Model 3,monsoon,0
Anuradhapura,Kurunegala,Anuradhapura_Kurunegala_C,C,86,41,low,125,12.508,Eco,Leaf,cloudy,1
Matara,Kandy,Matara_Kandy_A,A,39,39,medium,63,6.829,Normal,Atto 3,light_rain,1
Matara,Kandy,Matara_Kandy_B,B,42,51,medium,51,9.56,Aggressive,Atto 3,light_rain,0
Matara,Kandy,Matara_Kandy_C,C,52,53,medium,61,8.736,Normal,Model 3,monsoon,0
Matara,Batticaloa,Matara_Batticaloa_A,A,42,59,medium,44,6.108,Eco,Leaf,cloudy,1
Matara,Batticaloa,Matara_Batticaloa_B,B,45,22,high,147,10.044,Aggressive,Atto 3,cloudy,0
Matara,Batticaloa,Matara_Batticaloa_C,C,35,53,low,39,7.056,Normal,ZS EV,monsoon,0
Galle,Batticaloa,Galle_Batticaloa_A,A,90,37,medium,153,18.144,Normal,ZS EV,monsoon,0
Galle,Batticaloa,Galle_Batticaloa_B,B,95,60,low,95,16.15,Normal,Atto 3,sunny,1
Galle,Batticaloa,Galle_Batticaloa_C,C,96,59,medium,102,17.453,Normal,ZS EV,cloudy,0
Kandy,Colombo,Kandy_Colombo_A,A,40,36,high,80,5.933,Eco,Leaf,light_rain,1
Kandy,Colombo,Kandy_Colombo_B,B,30,61,low,29,6.302,Aggressive,Leaf,cloudy,0
Kandy,Colombo,Kandy_Colombo_C,C,42,68,high,44,6.922,Normal,Leaf,light_rain,0
Jaffna,Trincomalee,Jaffna_Trincomalee_A,A,104,46,medium,142,17.472,Normal,Model 3,monsoon,0
Jaffna,Trincomalee,Jaffna_Trincomalee_B,B,106,59,medium,113,20.67,Aggressive,Model 3,sunny,0
Jaffna,Trincomalee,Jaffna_Trincomalee_C,C,99,45,low,132,14.85,Normal,Model 3,sunny,1
Anuradhapura,Matara,Anuradhapura_Matara_A,A,20,61,low,19,3.434,Normal,Atto 3,cloudy,1
Anuradhapura,Matara,Anuradhapura_Matara_B,B,25,33,low,45,4.924,Aggressive,Model 3,cloudy,0
Anuradhapura,Matara,Anuradhapura_Matara_C,C,21,73,low,17,3.461,Normal,Leaf,light_rain,0
Anuradhapura,Trincomalee,Anuradhapura_Trincomalee_A,A,108,45,low,144,19.829,Normal,Atto 3,heavy_rain,0
Anuradhapura,Trincomalee,Anuradhapura_Trincomalee_B,B,103,41,medium,158,17.685,Normal,Atto 3,cloudy,0
Anuradhapura,Trincomalee,Anuradhapura_Trincomalee_C,C,107,61,medium,110,14.445,Eco,Model 3,sunny,1
Colombo,Batticaloa,Colombo_Batticaloa_A,A,27,57,high,34,5.006,Normal,ZS EV,light_rain,0
Colombo,Batticaloa,Colombo_Batticaloa_B,B,23,52,high,31,4.181,Normal,ZS EV,cloudy,1
Colombo,Batticaloa,Colombo_Batticaloa_C,C,23,42,high,39,4.173,Eco,ZS EV,monsoon,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_A,A,56,62,low,54,8.484,Normal,Model 3,cloudy,1
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_B,B,55,39,low,84,12.355,Aggressive,Leaf,heavy_rain,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_C,C,68,51,medium,84,11.236,Eco,Atto 3,heavy_rain,0
Ratnapura,Jaffna,Ratnapura_Jaffna_A,A,45,77,low,35,7.88,Normal,Atto 3,light_rain,0
Ratnapura,Jaffna,Ratnapura_Jaffna_B,B,46,27,medium,107,7.82,Normal,Atto 3,sunny,0
Ratnapura,Jaffna,Ratnapura_Jaffna_C,C,44,57,high,55,6.118,Eco,Model 3,light_rain,1
Jaffna,Matara,Jaffna_Matara_A,A,85,39,high,156,12.852,Eco,Model 3,monsoon,1
Jaffna,Matara,Jaffna_Matara_B,B,97,55,medium,111,18.857,Normal,ZS EV,heavy_rain,0
Jaffna,Matara,Jaffna_Matara_C,C,100,51,high,141,16.128,Eco,Leaf,monsoon,0
Galle,Colombo,Galle_Colombo_A,A,127,39,high,234,23.089,Normal,ZS EV,cloudy,0
Galle,Colombo,Galle_Colombo_B,B,128,38,low,202,19.2,Normal,Model 3,sunny,0
Galle,Colombo,Galle_Colombo_C,C,114,36,high,228,17.1,Normal,Model 3,sunny,1
Kandy,Kurunegala,Kandy_Kurunegala_A,A,109,52,high,150,18.312,Normal,Model 3,monsoon,0
Kandy,Kurunegala,Kandy_Kurunegala_B,B,103,50,medium,129,15.917,Eco,Atto 3,cloudy,1
Kandy,Kurunegala,Kandy_Kurunegala_C,C,90,31,low,174,16.33,Eco,ZS EV,monsoon,0
Anuradhapura,Ratnapura,Anuradhapura_Ratnapura_A,A,70,54,low,77,11.2,Normal,Leaf,sunny,1
Anuradhapura,Ratnapura,Anuradhapura_Ratnapura_B,B,78,27,low,173,10.53,Eco,Model 3,sunny,0
Anuradhapura,Ratnapura,Anuradhapura_Ratnapura_C,C,91,51,medium,112,15.934,Normal,Atto 3,light_rain,0
Anuradhapura,Galle,Anuradhapura_Galle_A,A,32,32,low,60,5.274,Normal,Leaf,light_rain,1
Anuradhapura,Galle,Anuradhapura_Galle_B,B,43,35,medium,77,7.224,Normal,Model 3,monsoon,0
Anuradhapura,Galle,Anuradhapura_Galle_C,C,38,49,high,55,5.872,Eco,Atto 3,cloudy,0
Galle,Batticaloa,Galle_Batticaloa_A,A,91,50,low,109,15.184,Eco,ZS EV,light_rain,1
Galle,Batticaloa,Galle_Batticaloa_B,B,103,27,medium,240,21.692,Aggressive,Model 3,heavy_rain,0
Galle,Batticaloa,Galle_Batticaloa_C,C,96,53,low,108,15.36,Normal,Leaf,sunny,0
Kurunegala,Jaffna,Kurunegala_Jaffna_A,A,133,52,low,153,18.135,Eco,Model 3,cloudy,0
Kurunegala,Jaffna,Kurunegala_Jaffna_B,B,104,31,high,241,24.579,Aggressive,ZS EV,cloudy,0
Kurunegala,Jaffna,Kurunegala_Jaffna_C,C,126,64,high,141,17.18,Eco,Model 3,cloudy,1
Colombo,Kandy,Colombo_Kandy_A,A,113,38,medium,187,20.95,Normal,ZS EV,light_rain,0
Colombo,Kandy,Colombo_Kandy_B,B,109,59,high,133,17.44,Normal,Leaf,sunny,1
Colombo,Kandy,Colombo_Kandy_C,C,111,41,low,162,20.579,Normal,ZS EV,light_rain,0
Kurunegala,Batticaloa,Kurunegala_Batticaloa_A,A,45,62,medium,45,6.75,Normal,Model 3,sunny,1
Kurunegala,Batticaloa,Kurunegala_Batticaloa_B,B,49,54,low,54,7.84,Normal,Leaf,sunny,0
Kurunegala,Batticaloa,Kurunegala_Batticaloa_C,C,34,67,high,36,8.115,Aggressive,Atto 3,heavy_rain,0
Colombo,Batticaloa,Colombo_Batticaloa_A,A,76,69,low,66,14.47,Normal,Atto 3,monsoon,0
Colombo,Batticaloa,Colombo_Batticaloa_B,B,73,50,high,105,14.191,Normal,ZS EV,heavy_rain,0
Colombo,Batticaloa,Colombo_Batticaloa_C,C,70,50,low,84,13.328,Normal,Atto 3,monsoon,1
Matara,Anuradhapura,Matara_Anuradhapura_A,A,129,39,medium,208,31.93,Aggressive,Atto 3,monsoon,0
Matara,Anuradhapura,Matara_Anuradhapura_B,B,120,58,low,124,21.816,Normal,ZS EV,cloudy,0
Matara,Anuradhapura,Matara_Anuradhapura_C,C,113,30,low,226,17.808,Eco,Atto 3,light_rain,1
Kurunegala,Jaffna,Kurunegala_Jaffna_A,A,41,54,medium,47,6.97,Normal,Atto 3,sunny,1
Kurunegala,Jaffna,Kurunegala_Jaffna_B,B,39,57,low,41,9.309,Aggressive,Atto 3,heavy_rain,0
Kurunegala,Jaffna,Kurunegala_Jaffna_C,C,44,24,medium,115,6.732,Eco,Atto 3,sunny,0
Jaffna,Ratnapura,Jaffna_Ratnapura_A,A,115,42,high,197,28.465,Aggressive,Atto 3,monsoon,0
Jaffna,Ratnapura,Jaffna_Ratnapura_B,B,118,33,medium,225,25.28,Aggressive,Leaf,light_rain,0
Jaffna,Ratnapura,Jaffna_Ratnapura_C,C,96,61,low,94,15.821,Normal,Leaf,light_rain,1
Kandy,Ratnapura,Kandy_Ratnapura_A,A,93,61,high,109,15.326,Normal,Leaf,light_rain,1
Kandy,Ratnapura,Kandy_Ratnapura_B,B,91,28,low,195,15.594,Eco,Atto 3,monsoon,0
Kandy,Ratnapura,Kandy_Ratnapura_C,C,87,62,high,101,20.268,Aggressive,Leaf,monsoon,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_A,A,77,58,medium,83,13.09,Normal,Atto 3,sunny,1
Batticaloa,Ratnapura,Batticaloa_Ratnapura_B,B,72,40,medium,113,13.349,Normal,ZS EV,light_rain,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_C,C,72,51,medium,88,13.709,Normal,Atto 3,monsoon,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_A,A,89,52,high,123,16.18,Normal,ZS EV,cloudy,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_B,B,68,39,low,104,10.506,Normal,Model 3,light_rain,1
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_C,C,65,63,high,74,11.7,Normal,ZS EV,sunny,0
Galle,Ratnapura,Galle_Ratnapura_A,A,75,31,medium,152,12.393,Eco,Atto 3,heavy_rain,1
Galle,Ratnapura,Galle_Ratnapura_B,B,74,55,medium,84,12.947,Eco,ZS EV,heavy_rain,0
Galle,Ratnapura,Galle_Ratnapura_C,C,75,32,high,168,15.756,Aggressive,Leaf,cloudy,0
Galle,Ratnapura,Galle_Ratnapura_A,A,83,44,low,113,17.48,Aggressive,Model 3,heavy_rain,0
Galle,Ratnapura,Galle_Ratnapura_B,B,81,36,low,135,16.33,Normal,ZS EV,monsoon,0
Galle,Ratnapura,Galle_Ratnapura_C,C,69,51,high,97,12.544,Normal,ZS EV,cloudy,1
Trincomalee,Colombo,Trincomalee_Colombo_A,A,89,51,low,104,14.706,Eco,Atto 3,heavy_rain,0
Trincomalee,Colombo,Trincomalee_Colombo_B,B,83,67,high,89,13.678,Normal,Leaf,light_rain,1
Trincomalee,Colombo,Trincomalee_Colombo_C,C,96,42,high,164,17.203,Normal,Leaf,monsoon,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_A,A,75,61,high,88,13.608,Eco,ZS EV,monsoon,0
Jaffna,Anuradhapura,Jaffna_Anuradhapura_B,B,57,62,low,55,8.618,Eco,Model 3,monsoon,1
Jaffna,Anuradhapura,Jaffna_Anuradhapura_C,C,79,52,medium,95,12.206,Normal,Model 3,light_rain,0
Kurunegala,Jaffna,Kurunegala_Jaffna_A,A,87,38,medium,144,14.517,Eco,ZS EV,light_rain,0
Kurunegala,Jaffna,Kurunegala_Jaffna_B,B,76,67,medium,71,13.133,Normal,Leaf,heavy_rain,1
Kurunegala,Jaffna,Kurunegala_Jaffna_C,C,88,32,high,198,15.77,Normal,Leaf,monsoon,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_A,A,81,36,low,135,16.33,Normal,ZS EV,monsoon,0
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_B,B,70,46,low,91,15.47,Aggressive,Atto 3,sunny,1
Trincomalee,Anuradhapura,Trincomalee_Anuradhapura_C,C,71,58,high,88,15.691,Aggressive,Atto 3,sunny,0
Jaffna,Colombo,Jaffna_Colombo_A,A,50,59,medium,53,11.934,Aggressive,Atto 3,heavy_rain,0
Jaffna,Colombo,Jaffna_Colombo_B,B,53,66,medium,50,8.243,Eco,Leaf,heavy_rain,1
Jaffna,Colombo,Jaffna_Colombo_C,C,57,54,medium,66,9.394,Normal,Leaf,light_rain,0
Matara,Kandy,Matara_Kandy_A,A,53,46,high,82,8.565,Normal,Leaf,cloudy,1
Matara,Kandy,Matara_Kandy_B,B,46,52,low,53,9.239,Aggressive,Model 3,light_rain,0
Matara,Kandy,Matara_Kandy_C,C,52,64,high,58,9.547,Normal,Atto 3,heavy_rain,0
Kandy,Matara,Kandy_Matara_A,A,54,66,low,49,12.131,Aggressive,Leaf,heavy_rain,0
Kandy,Matara,Kandy_Matara_B,B,59,45,low,78,11.85,Aggressive,Model 3,light_rain,1
Kandy,Matara,Kandy_Matara_C,C,77,68,low,67,12.419,Eco,Leaf,monsoon,0
Anuradhapura,Matara,Anuradhapura_Matara_A,A,31,35,low,53,6.026,Normal,ZS EV,heavy_rain,0
Anuradhapura,Matara,Anuradhapura_Matara_B,B,30,47,medium,40,4.09,Eco,Model 3,cloudy,1
Anuradhapura,Matara,Anuradhapura_Matara_C,C,37,71,high,37,6.66,Normal,ZS EV,sunny,0
Kurunegala,Trincomalee,Kurunegala_Trincomalee_A,A,119,28,medium,267,19.278,Normal,Model 3,heavy_rain,0
Kurunegala,Trincomalee,Kurunegala_Trincomalee_B,B,101,48,high,151,26.47,Aggressive,ZS EV,monsoon,0
Kurunegala,Trincomalee,Kurunegala_Trincomalee_C,C,111,48,medium,145,16.65,Normal,Model 3,sunny,1
Batticaloa,Kurunegala,Batticaloa_Kurunegala_A,A,95,57,low,100,15.39,Eco,ZS EV,sunny,0
Batticaloa,Kurunegala,Batticaloa_Kurunegala_B,B,83,35,medium,149,12.072,Eco,Leaf,cloudy,1
Batticaloa,Kurunegala,Batticaloa_Kurunegala_C,C,99,46,low,129,14.684,Eco,Leaf,light_rain,0
Ratnapura,Galle,Ratnapura_Galle_A,A,90,49,low,110,14.515,Eco,Leaf,monsoon,0
Ratnapura,Galle,Ratnapura_Galle_B,B,117,59,high,142,22.277,Normal,Atto 3,monsoon,0
Ratnapura,Galle,Ratnapura_Galle_C,C,98,51,medium,121,13.362,Eco,Model 3,cloudy,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_A,A,92,55,medium,105,16.109,Normal,Atto 3,light_rain,1
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_B,B,125,28,low,267,18.54,Eco,Leaf,light_rain,0
Anuradhapura,Batticaloa,Anuradhapura_Batticaloa_C,C,124,71,low,104,22.221,Normal,Leaf,monsoon,0
Colombo,Ratnapura,Colombo_Ratnapura_A,A,123,43,high,205,21.254,Normal,Leaf,heavy_rain,0
Colombo,Ratnapura,Colombo_Ratnapura_B,B,128,51,low,150,22.938,Normal,Leaf,monsoon,0
Colombo,Ratnapura,Colombo_Ratnapura_C,C,94,74,low,76,15.491,Normal,Leaf,light_rain,1
Matara,Kandy,Matara_Kandy_A,A,55,47,low,70,8.888,Normal,Leaf,cloudy,0
Matara,Kandy,Matara_Kandy_B,B,44,42,low,62,8.158,Normal,ZS EV,light_rain,1
Matara,Kandy,Matara_Kandy_C,C,54,47,medium,72,8.165,Eco,Model 3,monsoon,0
Colombo,Anuradhapura,Colombo_Anuradhapura_A,A,77,50,high,110,12.134,Eco,Atto 3,light_rain,1
Colombo,Anuradhapura,Colombo_Anuradhapura_B,B,91,47,medium,121,21.72,Aggressive,Atto 3,heavy_rain,0
Colombo,Anuradhapura,Colombo_Anuradhapura_C,C,99,51,low,116,18.85,Normal,Atto 3,monsoon,0
Jaffna,Matara,Jaffna_Matara_A,A,89,46,medium,121,16.946,Normal,Atto 3,monsoon,0
Jaffna,Matara,Jaffna_Matara_B,B,74,22,low,201,11.84,Normal,Leaf,sunny,1
Jaffna,Matara,Jaffna_Matara_C,C,84,28,low,180,16.33,Normal,ZS EV,heavy_rain,0
Kurunegala,Kandy,Kurunegala_Kandy_A,A,120,66,medium,114,20.4,Normal,Atto 3,sunny,0
Kurunegala,Kandy,Kurunegala_Kandy_B,B,91,52,high,126,16.708,Normal,Atto 3,heavy_rain,1
Kurunegala,Kandy,Kurunegala_Kandy_C,C,107,71,low,90,19.174,Normal,Leaf,monsoon,0
Kandy,Ratnapura,Kandy_Ratnapura_A,A,104,62,high,120,23.674,Aggressive,Atto 3,light_rain,0
Kandy,Ratnapura,Kandy_Ratnapura_B,B,105,63,high,120,16.223,Normal,Model 3,light_rain,0
Kandy,Ratnapura,Kandy_Ratnapura_C,C,85,54,medium,99,12.75,Normal,Model 3,sunny,1
Matara,Kurunegala,Matara_Kurunegala_A,A,79,43,high,132,15.926,Normal,ZS EV,monsoon,0
Matara,Kurunegala,Matara_Kurunegala_B,B,80,58,high,99,17.857,Aggressive,Atto 3,cloudy,0
Matara,Kurunegala,Matara_Kurunegala_C,C,81,58,medium,87,13.122,Eco,ZS EV,sunny,1
Anuradhapura,Matara,Anuradhapura_Matara_A,A,100,36,low,166,18.144,Eco,ZS EV,monsoon,1
Anuradhapura,Matara,Anuradhapura_Matara_B,B,135,43,low,188,31.45,Aggressive,Leaf,monsoon,0
Anuradhapura,Matara,Anuradhapura_Matara_C,C,131,39,low,201,25.545,Aggressive,Model 3,sunny,0
Ratnapura,Trincomalee,Ratnapura_Trincomalee_A,A,35,46,low,45,6.489,Normal,ZS EV,light_rain,0
Ratnapura,Trincomalee,Ratnapura_Trincomalee_B,B,30,43,high,50,6.048,Normal,ZS EV,monsoon,0
Ratnapura,Trincomalee,Ratnapura_Trincomalee_C,C,31,50,low,37,4.696,Normal,Model 3,cloudy,1
Batticaloa,Ratnapura,Batticaloa_Ratnapura_A,A,65,48,low,81,10.504,Normal,Leaf,cloudy,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_B,B,65,43,low,90,9.75,Normal,Model 3,sunny,1
Batticaloa,Ratnapura,Batticaloa_Ratnapura_C,C,70,72,low,58,13.787,Aggressive,Model 3,cloudy,0
Trincomalee,Jaffna,Trincomalee_Jaffna_A,A,23,41,low,33,3.68,Normal,Leaf,sunny,1
Trincomalee,Jaffna,Trincomalee_Jaffna_B,B,26,53,low,29,4.553,Normal,Atto 3,light_rain,0
Trincomalee,Jaffna,Trincomalee_Jaffna_C,C,26,53,medium,30,3.744,Eco,Leaf,sunny,0
Batticaloa,Jaffna,Batticaloa_Jaffna_A,A,51,38,low,80,9.18,Normal,ZS EV,sunny,0
Batticaloa,Jaffna,Batticaloa_Jaffna_B,B,50,47,high,76,6.953,Eco,Model 3,light_rain,1
Batticaloa,Jaffna,Batticaloa_Jaffna_C,C,53,54,low,58,7.227,Eco,Model 3,cloudy,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_A,A,77,58,low,79,12.936,Normal,Model 3,monsoon,0
Batticaloa,Ratnapura,Batticaloa_Ratnapura_B,B,72,34,high,152,10.8,Normal,Model 3,sunny,1
Batticaloa,Ratnapura,Batticaloa_Ratnapura_C,C,79,54,medium,92,18.486,Aggressive,ZS EV,sunny,0
Matara,Kurunegala,Matara_Kurunegala_A,A,56,40,medium,88,10.282,Normal,Atto 3,heavy_rain,0
Matara,Kurunegala,Matara_Kurunegala_B,B,61,30,medium,128,13.481,Aggressive,Atto 3,sunny,0
Matara,Kurunegala,Matara_Kurunegala_C,C,64,40,low,96,9.89,Eco,Atto 3,cloudy,1
Anuradhapura,Galle,Anuradhapura_Galle_A,A,129,61,low,126,26.006,Normal,ZS EV,monsoon,0
Anuradhapura,Galle,Anuradhapura_Galle_B,B,138,43,high,231,25.585,Normal,ZS EV,light_rain,0
Anuradhapura,Galle,Anuradhapura_Galle_C,C,117,58,low,121,22.745,Normal,ZS EV,heavy_rain,1
Kandy,Galle,Kandy_Galle_A,A,65,63,low,61,10.504,Normal,Leaf,cloudy,1
Kandy,Galle,Kandy_Galle_B,B,68,51,medium,84,13.393,Aggressive,Model 3,cloudy,0
Kandy,Galle,Kandy_Galle_C,C,74,54,high,98,11.1,Normal,Model 3,sunny,0
Colombo,Matara,Colombo_Matara_A,A,26,65,low,24,5.07,Aggressive,Model 3,sunny,0
Colombo,Matara,Colombo_Matara_B,B,31,48,medium,40,5.323,Normal,Atto 3,cloudy,0
Colombo,Matara,Colombo_Matara_C,C,24,38,low,37,3.709,Eco,Atto 3,cloudy,1
Matara,Ratnapura,Matara_Ratnapura_A,A,28,59,high,34,5.515,Aggressive,Model 3,cloudy,0
Matara,Ratnapura,Matara_Ratnapura_B,B,31,44,high,50,4.885,Eco,Atto 3,light_rain,1
Matara,Ratnapura,Matara_Ratnapura_C,C,31,57,medium,34,5.58,Normal,ZS EV,sunny,0
Kandy,Ratnapura,Kandy_Ratnapura_A,A,74,41,low,108,13.453,Normal,ZS EV,cloudy,0
Kandy,Ratnapura,Kandy_Ratnapura_B,B,82,33,medium,156,14.17,Normal,Leaf,heavy_rain,0
Kandy,Ratnapura,Kandy_Ratnapura_C,C,70,60,low,70,12.726,Normal,ZS EV,cloudy,1
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_A,A,108,48,high,162,18.544,Normal,Atto 3,cloudy,1
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_B,B,141,44,medium,201,21.784,Normal,Model 3,light_rain,0
Batticaloa,Anuradhapura,Batticaloa_Anuradhapura_C,C,141,46,high,220,27.495,Aggressive,Model 3,sunny,0
Matara,Jaffna,Matara_Jaffna_A,A,109,25,medium,274,18.011,Eco,Atto 3,heavy_rain,1
Matara,Jaffna,Matara_Jaffna_B,B,109,44,low,148,28.567,Aggressive,ZS EV,monsoon,0
