trip_id,vehicle_model,battery_capacity_kWh,battery_start_%,battery_start_kWh,eff_kWh_per_km,max_possible_km,predicted_remaining_km
TR002485,Leaf,50,67.46,33.73,0.192,175.68,16.95
TR002486,Model 3,40,76.97,30.788,0.15,205.25,0.0
TR002487,Leaf,75,63.58,47.685,0.16,298.03,0.0
TR002488,Atto 3,60,68.19,40.914,0.204,200.56,0.0
TR002489,ZS EV,40,81.22,32.488,0.171,189.99,106.91
TR002490,Leaf,40,57.76,23.104,0.192,120.33,89.43
TR002491,Atto 3,60,95.71,57.426,0.17,337.8,269.89
TR002492,Model 3,60,67.4,40.44,0.18,224.67,106.96
TR002493,ZS EV,50,73.94,36.97,0.216,171.16,63.11
TR002494,Model 3,60,67.22,40.332,0.1425,283.03,205.78
TR002495,Model 3,40,95.48,38.192,0.15,254.61,96.31
TR002496,ZS EV,60,52.33,31.398,0.171,183.61,45.11
TR002497,Model 3,75,72.76,54.57,0.18,303.17,225.82
TR002498,Leaf,75,50.3,37.725,0.192,196.48,0.0
TR002499,Leaf,50,76.54,38.27,0.152,251.78,142.24
TR002500,ZS EV,75,70.0,52.5,0.18,291.67,90.19
TR002501,ZS EV,50,66.06,33.03,0.18,183.5,0.0
TR002502,Leaf,60,72.21,43.326,0.16,270.79,205.08
TR002503,ZS EV,40,51.99,20.796,0.171,121.61,0.0
TR002504,ZS EV,40,90.66,36.264,0.18,201.47,81.59
TR002505,Leaf,50,52.29,26.145,0.16,163.41,0.0
TR002506,Model 3,40,77.33,30.932,0.1425,217.07,0.0
TR002507,Model 3,40,98.47,39.388,0.15,262.59,78.87
TR002508,ZS EV,50,99.94,49.97,0.18,277.61,185.41
TR002509,Leaf,50,41.9,20.95,0.192,109.11,0.0
TR002510,ZS EV,60,80.57,48.342,0.18,268.57,180.55
TR002511,Leaf,40,75.6,30.24,0.192,157.5,0.0
TR002512,ZS EV,50,51.05,25.525,0.18,141.81,60.92
TR002513,Leaf,50,48.16,24.08,0.152,158.42,26.29
TR002514,Model 3,75,65.26,48.945,0.15,326.3,118.63
TR002515,ZS EV,40,67.03,26.812,0.18,148.96,68.38
TR002516,Atto 3,75,71.31,53.483,0.204,262.17,56.24
TR002517,Atto 3,75,47.03,35.273,0.17,207.49,154.17
TR002518,Atto 3,60,70.82,42.492,0.204,208.29,0.0
TR002519,Atto 3,60,68.1,40.86,0.17,240.35,94.49
TR002520,Atto 3,60,64.48,38.688,0.204,189.65,0.0
TR002521,Leaf,75,81.09,60.818,0.152,400.12,361.61
TR002522,Leaf,60,90.1,54.06,0.192,281.56,138.63
TR002523,Atto 3,60,83.97,50.382,0.17,296.36,70.31
TR002524,Leaf,60,66.76,40.056,0.16,250.35,37.48
TR002525,Model 3,40,49.18,19.672,0.15,131.15,0.0
TR002526,Model 3,50,93.25,46.625,0.1425,327.19,260.78
TR002527,Leaf,75,87.73,65.797,0.192,342.7,262.78
TR002528,Leaf,60,57.25,34.35,0.16,214.69,150.78
TR002529,Leaf,75,92.19,69.142,0.16,432.14,217.18
TR002530,Atto 3,75,99.85,74.888,0.1615,463.7,345.67
TR002531,ZS EV,75,50.64,37.98,0.216,175.83,0.0
TR002532,Atto 3,75,59.82,44.865,0.1615,277.8,188.19
TR002533,Atto 3,50,67.01,33.505,0.17,197.09,0.52
TR002534,ZS EV,40,91.99,36.796,0.171,215.18,0.0
TR002535,ZS EV,50,86.02,43.01,0.171,251.52,46.74
TR002536,Atto 3,75,75.24,56.43,0.17,331.94,190.82
TR002537,Model 3,40,74.83,29.932,0.18,166.29,0.0
TR002538,Leaf,40,43.71,17.484,0.16,109.28,0.0
TR002539,Atto 3,60,70.81,42.486,0.204,208.26,44.59
TR002540,Model 3,50,56.59,28.295,0.15,188.63,0.0
TR002541,ZS EV,40,81.59,32.636,0.18,181.31,43.74
TR002542,ZS EV,75,66.99,50.242,0.18,279.12,79.29
TR002543,Atto 3,50,51.83,25.915,0.204,127.03,0.0
TR002544,Model 3,75,78.08,58.56,0.15,390.4,243.69
TR002545,Atto 3,40,93.24,37.296,0.17,219.39,69.86
TR002546,Atto 3,60,70.29,42.174,0.204,206.74,0.0
TR002547,ZS EV,40,45.25,18.1,0.18,100.56,38.17
TR002548,Model 3,75,59.29,44.468,0.1425,312.05,195.04
TR002549,ZS EV,75,99.95,74.963,0.216,347.05,17.35
TR002550,Model 3,40,74.94,29.976,0.18,166.53,0.0
TR002551,ZS EV,60,67.29,40.374,0.171,236.11,59.15
TR002552,Leaf,50,99.01,49.505,0.16,309.41,0.0
TR002553,Model 3,50,58.9,29.45,0.1425,206.67,0.0
TR002554,ZS EV,40,54.64,21.856,0.18,121.42,0.0
TR002555,Atto 3,60,88.36,53.016,0.17,311.86,8.32
TR002556,ZS EV,60,71.11,42.666,0.18,237.03,0.0
TR002557,ZS EV,60,53.26,31.956,0.216,147.94,0.0
TR002558,Atto 3,60,85.72,51.432,0.17,302.54,6.51
TR002559,Atto 3,50,83.57,41.785,0.204,204.83,0.0
TR002560,ZS EV,40,47.68,19.072,0.216,88.3,0.0
TR002561,ZS EV,40,71.98,28.792,0.18,159.96,0.0
TR002562,Model 3,50,67.55,33.775,0.1425,237.02,163.75
TR002563,Atto 3,75,82.88,62.16,0.204,304.71,186.01
TR002564,ZS EV,40,89.82,35.928,0.216,166.33,0.0
TR002565,Atto 3,50,65.92,32.96,0.204,161.57,105.75
TR002566,Leaf,50,79.28,39.64,0.16,247.75,122.57
TR002567,ZS EV,60,89.32,53.592,0.216,248.11,164.27
TR002568,Leaf,50,60.46,30.23,0.16,188.94,124.32
TR002569,ZS EV,60,95.15,57.09,0.18,317.17,113.71
TR002570,Atto 3,60,79.14,47.484,0.17,279.32,156.28
TR002571,Atto 3,40,51.83,20.732,0.1615,128.37,0.0
TR002572,ZS EV,40,75.88,30.352,0.18,168.62,0.0
TR002573,Leaf,75,57.18,42.885,0.16,268.03,178.13
TR002574,Model 3,40,48.97,19.588,0.1425,137.46,65.28
TR002575,Atto 3,40,86.78,34.712,0.1615,214.93,92.17
TR002576,ZS EV,60,64.53,38.718,0.18,215.1,0.0
TR002577,Leaf,75,94.56,70.92,0.192,369.38,202.29
TR002578,ZS EV,50,48.85,24.425,0.171,142.84,0.0
TR002579,Leaf,50,46.17,23.085,0.16,144.28,37.99
TR002580,Atto 3,75,65.76,49.32,0.17,290.12,0.0
TR002581,Model 3,40,49.38,19.752,0.1425,138.61,0.0
TR002582,ZS EV,60,75.86,45.516,0.216,210.72,115.17
TR002583,ZS EV,75,67.31,50.483,0.216,233.72,136.03
TR002584,ZS EV,60,74.21,44.526,0.18,247.37,62.41
TR002585,ZS EV,40,69.84,27.936,0.18,155.2,0.0
TR002586,Atto 3,40,77.27,30.908,0.17,181.81,0.0
TR002587,Atto 3,50,84.19,42.095,0.17,247.62,184.4
TR002588,Leaf,40,41.54,16.616,0.152,109.32,0.0
TR002589,Model 3,40,85.12,34.048,0.18,189.16,0.0
TR002590,Atto 3,60,79.84,47.904,0.17,281.79,0.0
TR002591,Model 3,75,54.3,40.725,0.15,271.5,0.0
TR002592,Model 3,75,99.57,74.677,0.18,414.88,284.9
TR002593,Leaf,50,76.04,38.02,0.16,237.63,178.38
TR002594,ZS EV,40,55.72,22.288,0.216,103.19,0.0
TR002595,ZS EV,60,99.14,59.484,0.18,330.47,0.0
TR002596,Model 3,40,97.05,38.82,0.18,215.67,139.68
TR002597,Atto 3,60,58.19,34.914,0.17,205.38,7.75
TR002598,Atto 3,40,53.64,21.456,0.17,126.21,65.75
TR002599,Atto 3,60,79.75,47.85,0.17,281.47,5.93
TR002600,ZS EV,50,94.45,47.225,0.18,262.36,225.96
TR002601,Atto 3,40,47.24,18.896,0.204,92.63,12.5
TR002602,Leaf,50,65.86,32.93,0.192,171.51,71.69
TR002603,ZS EV,40,92.88,37.152,0.18,206.4,127.68
TR002604,Leaf,50,87.57,43.785,0.192,228.05,97.28
TR002605,Atto 3,75,86.94,65.205,0.17,383.56,265.41
TR002606,Leaf,60,81.06,48.636,0.16,303.98,255.83
TR002607,ZS EV,60,97.16,58.296,0.18,323.87,202.27
TR002608,Atto 3,75,63.81,47.858,0.1615,296.33,254.96
TR002609,Model 3,40,87.0,34.8,0.18,193.33,0.0
TR002610,Model 3,40,95.31,38.124,0.1425,267.54,162.62
TR002611,Leaf,40,89.46,35.784,0.192,186.38,42.76
TR002612,Model 3,60,41.06,24.636,0.1425,172.88,79.1
TR002613,Model 3,60,66.44,39.864,0.1425,279.75,24.83
TR002614,Leaf,40,98.66,39.464,0.16,246.65,179.64
TR002615,Model 3,40,91.82,36.728,0.15,244.85,0.0
TR002616,Leaf,40,95.52,38.208,0.192,199.0,103.73
TR002617,Atto 3,60,41.23,24.738,0.17,145.52,45.82
TR002618,ZS EV,40,61.12,24.448,0.18,135.82,10.16
TR002619,Atto 3,40,77.45,30.98,0.17,182.24,143.44
TR002620,Model 3,75,64.76,48.57,0.15,323.8,220.04
TR002621,ZS EV,50,84.24,42.12,0.18,234.0,48.54
TR002622,Leaf,50,91.66,45.83,0.16,286.44,179.98
TR002623,ZS EV,50,81.45,40.725,0.18,226.25,63.77
TR002624,Atto 3,50,96.39,48.195,0.1615,298.42,215.58
TR002625,Atto 3,40,52.67,21.068,0.17,123.93,0.0
TR002626,Model 3,40,99.92,39.968,0.1425,280.48,187.92
TR002627,Model 3,40,64.91,25.964,0.15,173.09,26.72
TR002628,Atto 3,50,86.56,43.28,0.17,254.59,144.52
TR002629,Model 3,50,90.78,45.39,0.15,302.6,244.03
TR002630,Model 3,60,77.21,46.326,0.15,308.84,0.0
TR002631,Model 3,40,75.86,30.344,0.15,202.29,0.0
TR002632,ZS EV,40,59.97,23.988,0.18,133.27,77.95
TR002633,Model 3,75,94.43,70.823,0.15,472.15,394.23
TR002634,Model 3,75,49.39,37.042,0.15,246.95,0.0
TR002635,Atto 3,50,42.04,21.02,0.17,123.65,0.0
TR002636,Leaf,75,72.44,54.33,0.192,282.97,115.44
TR002637,ZS EV,75,48.96,36.72,0.18,204.0,64.53
TR002638,ZS EV,50,69.09,34.545,0.216,159.93,82.67
TR002639,Model 3,50,71.61,35.805,0.15,238.7,112.85
TR002640,Atto 3,40,56.85,22.74,0.1615,140.8,0.0
TR002641,Atto 3,75,56.24,42.18,0.204,206.76,147.84
TR002642,Leaf,50,41.93,20.965,0.16,131.03,0.0
TR002643,Atto 3,75,84.18,63.135,0.204,309.49,0.0
TR002644,Leaf,75,64.41,48.307,0.192,251.6,0.0
TR002645,Leaf,50,43.9,21.95,0.192,114.32,11.98
TR002646,Leaf,60,64.35,38.61,0.16,241.31,102.8
TR002647,Model 3,60,71.86,43.116,0.15,287.44,0.0
TR002648,Model 3,75,89.08,66.81,0.15,445.4,174.45
TR002649,Model 3,40,74.75,29.9,0.15,199.33,62.49
TR002650,ZS EV,40,49.22,19.688,0.18,109.38,0.0
TR002651,Atto 3,75,77.4,58.05,0.17,341.47,55.0
TR002652,Atto 3,60,90.97,54.582,0.17,321.07,0.0
TR002653,Leaf,50,65.62,32.81,0.16,205.06,91.84
TR002654,Leaf,50,86.74,43.37,0.192,225.89,122.26
TR002655,Atto 3,40,53.77,21.508,0.204,105.43,22.21
TR002656,Leaf,50,92.42,46.21,0.192,240.68,155.11
TR002657,Atto 3,75,60.56,45.42,0.17,267.18,128.26
TR002658,Model 3,50,50.63,25.315,0.18,140.64,7.24
TR002659,Model 3,60,50.48,30.288,0.15,201.92,91.84
TR002660,Leaf,60,50.44,30.264,0.16,189.15,0.0
TR002661,Leaf,60,73.97,44.382,0.192,231.16,0.0
TR002662,Atto 3,40,58.85,23.54,0.204,115.39,0.0
TR002663,Atto 3,50,81.85,40.925,0.1615,253.41,3.92
TR002664,ZS EV,60,86.45,51.87,0.216,240.14,174.09
TR002665,Leaf,50,90.49,45.245,0.16,282.78,0.0
TR002666,Leaf,50,50.41,25.205,0.16,157.53,0.0
TR002667,Leaf,50,85.95,42.975,0.16,268.59,113.0
TR002668,Leaf,75,90.05,67.537,0.16,422.11,145.3
TR002669,Atto 3,60,77.88,46.728,0.1615,289.34,0.0
TR002670,Leaf,75,89.73,67.297,0.16,420.61,87.85
TR002671,Leaf,60,42.84,25.704,0.152,169.11,41.18
TR002672,Model 3,40,93.46,37.384,0.1425,262.34,167.68
TR002673,Leaf,40,47.32,18.928,0.192,98.58,0.0
TR002674,Atto 3,75,51.16,38.37,0.1615,237.59,0.0
TR002675,Atto 3,40,79.37,31.748,0.1615,196.58,0.0
TR002676,Leaf,50,97.89,48.945,0.192,254.92,0.0
TR002677,ZS EV,75,61.51,46.133,0.18,256.29,192.91
TR002678,ZS EV,50,99.22,49.61,0.18,275.61,0.0
TR002679,Atto 3,40,66.87,26.748,0.17,157.34,0.0
TR002680,Atto 3,60,96.35,57.81,0.17,340.06,113.16
TR002681,Leaf,60,83.94,50.364,0.192,262.31,108.16
TR002682,ZS EV,40,59.57,23.828,0.18,132.38,63.38
TR002683,Leaf,60,95.65,57.39,0.192,298.91,149.94
TR002684,ZS EV,40,79.64,31.856,0.171,186.29,3.8
TR002685,Atto 3,50,49.49,24.745,0.17,145.56,21.47
TR002686,Leaf,60,58.98,35.388,0.16,221.17,160.91
TR002687,Leaf,40,86.31,34.524,0.16,215.78,27.05
TR002688,ZS EV,75,61.51,46.133,0.171,269.78,68.15
TR002689,ZS EV,50,76.8,38.4,0.216,177.78,0.0
TR002690,Model 3,75,67.09,50.318,0.15,335.45,186.78
TR002691,Atto 3,75,87.38,65.535,0.1615,405.79,190.03
TR002692,Leaf,60,63.05,37.83,0.152,248.88,103.56
TR002693,Atto 3,50,99.62,49.81,0.1615,308.42,52.11
TR002694,Model 3,40,63.72,25.488,0.15,169.92,0.0
TR002695,Atto 3,60,79.02,47.412,0.17,278.89,82.99
TR002696,ZS EV,60,45.52,27.312,0.18,151.73,0.0
TR002697,ZS EV,75,74.42,55.815,0.18,310.08,129.61
TR002698,Leaf,75,66.4,49.8,0.192,259.38,211.33
TR002699,Atto 3,50,93.02,46.51,0.204,227.99,158.55
TR002700,Model 3,60,81.04,48.624,0.15,324.16,176.23
TR002701,ZS EV,40,57.45,22.98,0.18,127.67,0.0
TR002702,ZS EV,50,45.61,22.805,0.171,133.36,0.0
TR002703,Model 3,50,87.45,43.725,0.15,291.5,199.44
TR002704,ZS EV,50,40.42,20.21,0.18,112.28,55.1
TR002705,Leaf,40,46.06,18.424,0.152,121.21,0.0
TR002706,Atto 3,75,84.39,63.292,0.204,310.26,0.0
TR002707,Atto 3,75,73.33,54.998,0.1615,340.54,99.77
TR002708,Model 3,50,64.58,32.29,0.15,215.27,21.32
TR002709,ZS EV,40,43.81,17.524,0.18,97.36,0.0
TR002710,ZS EV,40,81.83,32.732,0.171,191.42,0.0
TR002711,ZS EV,50,68.31,34.155,0.18,189.75,0.0
TR002712,Leaf,60,51.57,30.942,0.16,193.39,0.0
TR002713,Leaf,60,50.55,30.33,0.152,199.54,169.76
TR002714,ZS EV,60,98.56,59.136,0.216,273.78,0.0
TR002715,Leaf,40,59.54,23.816,0.152,156.68,93.18
TR002716,Model 3,75,75.08,56.31,0.18,312.83,253.86
TR002717,ZS EV,75,63.91,47.932,0.18,266.29,198.29
TR002718,Atto 3,60,79.78,47.868,0.1615,296.4,8.4
TR002719,Atto 3,50,41.66,20.83,0.1615,128.98,0.0
TR002720,ZS EV,50,97.12,48.56,0.171,283.98,120.11
TR002721,Leaf,60,78.94,47.364,0.152,311.61,229.22
TR002722,ZS EV,50,48.44,24.22,0.171,141.64,0.0
TR002723,ZS EV,75,77.49,58.117,0.18,322.88,202.16
TR002724,Leaf,75,51.72,38.79,0.192,202.03,0.0
TR002725,Atto 3,40,43.62,17.448,0.17,102.64,0.0
TR002726,Leaf,50,45.48,22.74,0.152,149.61,0.0
TR002727,ZS EV,40,55.23,22.092,0.18,122.73,0.0
TR002728,Atto 3,50,61.43,30.715,0.1615,190.19,0.0
TR002729,Leaf,75,65.38,49.035,0.192,255.39,33.02
TR002730,Leaf,40,78.75,31.5,0.192,164.06,127.65
TR002731,ZS EV,60,57.74,34.644,0.18,192.47,77.74
TR002732,Model 3,75,88.65,66.487,0.15,443.25,388.44
TR002733,Leaf,60,45.87,27.522,0.16,172.01,0.0
TR002734,Model 3,40,63.88,25.552,0.15,170.35,0.0
TR002735,ZS EV,40,43.13,17.252,0.18,95.84,16.64
TR002736,ZS EV,50,51.9,25.95,0.171,151.75,99.66
TR002737,Atto 3,75,61.55,46.163,0.17,271.54,57.44
TR002738,Atto 3,60,60.01,36.006,0.17,211.8,31.04
TR002739,ZS EV,60,99.35,59.61,0.171,348.6,238.57
TR002740,Atto 3,50,63.22,31.61,0.1615,195.73,96.53
TR002741,Model 3,60,43.43,26.058,0.15,173.72,2.6
TR002742,Model 3,40,97.99,39.196,0.1425,275.06,124.06
TR002743,Model 3,60,61.26,36.756,0.18,204.2,0.0
TR002744,Model 3,40,60.4,24.16,0.15,161.07,116.75
TR002745,Leaf,60,88.79,53.274,0.16,332.96,214.1
TR002746,Leaf,60,60.05,36.03,0.192,187.66,0.0
TR002747,ZS EV,40,44.4,17.76,0.18,98.67,0.0
TR002748,Model 3,60,52.58,31.548,0.15,210.32,0.0
TR002749,ZS EV,40,84.14,33.656,0.216,155.81,0.0
TR002750,ZS EV,75,59.9,44.925,0.18,249.58,154.69
TR002751,ZS EV,75,62.58,46.935,0.171,274.47,207.33
TR002752,Leaf,75,52.62,39.465,0.16,246.66,116.82
TR002753,ZS EV,60,44.79,26.874,0.18,149.3,69.34
TR002754,Model 3,50,99.8,49.9,0.15,332.67,298.15
TR002755,Atto 3,75,96.18,72.135,0.17,424.32,181.58
TR002756,Leaf,40,98.06,39.224,0.16,245.15,169.98
TR002757,Atto 3,60,69.43,41.658,0.204,204.21,116.28
TR002758,Model 3,60,91.63,54.978,0.15,366.52,104.81
TR002759,Atto 3,60,46.86,28.116,0.17,165.39,33.62
TR002760,Atto 3,40,55.34,22.136,0.17,130.21,0.0
TR002761,ZS EV,60,57.04,34.224,0.18,190.13,179.88
TR002762,Model 3,40,69.85,27.94,0.18,155.22,12.42
TR002763,ZS EV,75,50.92,38.19,0.18,212.17,0.0
TR002764,Atto 3,50,60.18,30.09,0.1615,186.32,84.45
TR002765,Model 3,50,84.95,42.475,0.15,283.17,0.0
TR002766,Model 3,40,60.54,24.216,0.1425,169.94,133.94
TR002767,Model 3,50,92.25,46.125,0.15,307.5,10.6
TR002768,Leaf,50,74.44,37.22,0.192,193.85,0.0
TR002769,Atto 3,60,99.65,59.79,0.17,351.71,22.5
TR002770,Leaf,60,42.69,25.614,0.152,168.51,0.0
TR002771,Leaf,60,95.86,57.516,0.16,359.48,223.22
TR002772,Leaf,60,44.85,26.91,0.16,168.19,0.0
TR002773,Atto 3,50,94.46,47.23,0.1615,292.45,137.89
TR002774,Atto 3,60,52.36,31.416,0.17,184.8,123.44
TR002775,ZS EV,60,83.11,49.866,0.216,230.86,153.4
TR002776,ZS EV,40,47.6,19.04,0.18,105.78,0.0
TR002777,Model 3,50,69.52,34.76,0.18,193.11,0.0
TR002778,ZS EV,50,48.41,24.205,0.18,134.47,1.16
TR002779,Model 3,75,70.3,52.725,0.1425,370.0,244.27
TR002780,ZS EV,75,92.19,69.142,0.18,384.12,218.28
TR002781,ZS EV,60,40.04,24.024,0.18,133.47,69.01
TR002782,Atto 3,60,58.71,35.226,0.17,207.21,0.0
TR002783,Atto 3,60,50.17,30.102,0.204,147.56,85.05
TR002784,Model 3,75,99.57,74.677,0.15,497.85,308.9
TR002785,Atto 3,40,82.6,33.04,0.1615,204.58,56.59
TR002786,Leaf,75,40.84,30.63,0.16,191.44,23.84
TR002787,Model 3,50,43.68,21.84,0.15,145.6,0.0
TR002788,Model 3,75,53.94,40.455,0.15,269.7,199.47
TR002789,Model 3,50,56.76,28.38,0.15,189.2,0.0
TR002790,Leaf,40,68.45,27.38,0.16,171.12,80.26
TR002791,ZS EV,75,64.52,48.39,0.18,268.83,0.0
TR002792,ZS EV,40,61.74,24.696,0.171,144.42,87.88
TR002793,Leaf,60,55.09,33.054,0.16,206.59,52.44
TR002794,Model 3,50,66.26,33.13,0.1425,232.49,0.0
TR002795,ZS EV,60,54.39,32.634,0.18,181.3,105.87
TR002796,Atto 3,40,53.25,21.3,0.204,104.41,39.39
TR002797,Model 3,50,74.69,37.345,0.18,207.47,42.52
TR002798,Model 3,75,85.11,63.833,0.15,425.55,230.91
TR002799,Leaf,40,70.42,28.168,0.152,185.32,75.06
TR002800,Leaf,75,99.84,74.88,0.192,390.0,344.09
TR002801,Model 3,60,55.54,33.324,0.15,222.16,147.17
TR002802,Model 3,40,47.48,18.992,0.15,126.61,92.59
TR002803,Atto 3,60,77.78,46.668,0.17,274.52,67.82
TR002804,Leaf,75,42.97,32.227,0.152,212.02,138.81
TR002805,Model 3,75,90.83,68.123,0.1425,478.05,441.57
TR002806,ZS EV,75,96.77,72.578,0.216,336.01,132.98
TR002807,Atto 3,50,88.45,44.225,0.17,260.15,0.0
TR002808,Model 3,75,99.65,74.737,0.15,498.25,276.61
TR002809,ZS EV,60,78.87,47.322,0.171,276.74,204.13
TR002810,Leaf,40,63.62,25.448,0.16,159.05,0.0
TR002811,Model 3,60,81.8,49.08,0.15,327.2,168.51
TR002812,Model 3,60,65.18,39.108,0.15,260.72,148.93
TR002813,ZS EV,50,56.62,28.31,0.18,157.28,48.37
TR002814,Leaf,50,99.55,49.775,0.16,311.09,146.95
TR002815,Atto 3,60,43.21,25.926,0.1615,160.53,64.8
TR002816,Atto 3,40,93.39,37.356,0.17,219.74,0.0
TR002817,ZS EV,75,93.61,70.207,0.171,410.57,376.2
TR002818,Atto 3,40,87.99,35.196,0.1615,217.93,0.0
TR002819,ZS EV,40,74.69,29.876,0.18,165.98,47.45
TR002820,Atto 3,40,86.08,34.432,0.204,168.78,57.9
TR002821,Atto 3,50,98.63,49.315,0.204,241.74,0.0
TR002822,Leaf,40,56.02,22.408,0.16,140.05,0.0
TR002823,Atto 3,50,57.43,28.715,0.17,168.91,110.77
TR002824,Leaf,60,68.47,41.082,0.16,256.76,52.34
TR002825,Model 3,60,46.44,27.864,0.1425,195.54,120.23
TR002826,ZS EV,40,96.78,38.712,0.18,215.07,144.86
TR002827,ZS EV,50,90.9,45.45,0.171,265.79,129.02
TR002828,Model 3,75,63.77,47.828,0.15,318.85,173.18
TR002829,Leaf,75,57.09,42.818,0.16,267.61,133.49
TR002830,Atto 3,50,80.37,40.185,0.17,236.38,118.64
TR002831,Leaf,50,79.13,39.565,0.16,247.28,152.82
TR002832,Leaf,60,59.21,35.526,0.192,185.03,59.39
TR002833,Leaf,60,86.57,51.942,0.16,324.64,139.03
TR002834,Atto 3,75,90.67,68.002,0.17,400.01,83.46
TR002835,Atto 3,75,90.87,68.153,0.17,400.9,294.85
TR002836,ZS EV,75,58.95,44.212,0.216,204.69,3.78
TR002837,Model 3,40,42.38,16.952,0.1425,118.96,0.0
TR002838,Model 3,75,68.97,51.727,0.1425,363.0,229.62
TR002839,Leaf,40,52.16,20.864,0.152,137.26,0.0
TR002840,Model 3,60,98.78,59.268,0.15,395.12,96.67
TR002841,Model 3,60,87.06,52.236,0.15,348.24,227.45
TR002842,Model 3,60,95.72,57.432,0.15,382.88,127.79
TR002843,Atto 3,40,66.88,26.752,0.1615,165.65,48.94
TR002844,ZS EV,60,93.12,55.872,0.18,310.4,37.85
TR002845,Atto 3,50,51.15,25.575,0.17,150.44,112.01
TR002846,Atto 3,60,43.02,25.812,0.204,126.53,0.0
TR002847,Leaf,40,74.61,29.844,0.16,186.53,82.6
TR002848,Atto 3,60,79.03,47.418,0.1615,293.61,167.42
TR002849,Atto 3,60,42.73,25.638,0.204,125.68,11.09
TR002850,Atto 3,60,77.97,46.782,0.1615,289.67,55.6
TR002851,Leaf,75,68.62,51.465,0.152,338.59,205.57
TR002852,Model 3,60,57.46,34.476,0.1425,241.94,197.24
TR002853,Atto 3,50,45.2,22.6,0.17,132.94,0.0
TR002854,Leaf,50,99.58,49.79,0.16,311.19,41.06
TR002855,Leaf,75,81.38,61.035,0.152,401.55,261.59
TR002856,ZS EV,60,92.86,55.716,0.18,309.53,215.87
TR002857,Leaf,60,80.02,48.012,0.16,300.07,231.32
TR002858,Model 3,40,47.71,19.084,0.15,127.23,64.26
TR002859,Leaf,60,66.18,39.708,0.16,248.17,56.26
TR002860,Atto 3,40,66.72,26.688,0.204,130.82,16.33
TR002861,Model 3,50,56.1,28.05,0.15,187.0,39.29
TR002862,Leaf,40,69.59,27.836,0.16,173.98,0.0
TR002863,Model 3,60,89.15,53.49,0.15,356.6,226.47
TR002864,Leaf,75,97.09,72.817,0.16,455.11,157.47
TR002865,Model 3,75,99.61,74.707,0.15,498.05,442.23
TR002866,Leaf,60,82.82,49.692,0.192,258.81,0.0
TR002867,Model 3,50,48.77,24.385,0.18,135.47,0.0
TR002868,Leaf,50,51.57,25.785,0.16,161.16,108.82
TR002869,Model 3,60,98.46,59.076,0.15,393.84,332.09
TR002870,Model 3,75,57.0,42.75,0.18,237.5,157.34
TR002871,ZS EV,40,43.62,17.448,0.18,96.93,0.0
TR002872,Atto 3,40,76.55,30.62,0.204,150.1,0.0
TR002873,Leaf,40,92.6,37.04,0.16,231.5,157.28
TR002874,Model 3,50,83.28,41.64,0.18,231.33,0.0
TR002875,Leaf,40,94.44,37.776,0.192,196.75,0.0
TR002876,Atto 3,75,41.33,30.997,0.17,182.34,0.0
TR002877,Atto 3,60,57.58,34.548,0.204,169.35,68.5
TR002878,Leaf,75,70.53,52.898,0.152,348.01,163.07
TR002879,Leaf,60,79.24,47.544,0.16,297.15,92.9
TR002880,Model 3,60,75.97,45.582,0.15,303.88,171.83
TR002881,ZS EV,50,80.92,40.46,0.216,187.31,108.69
TR002882,Model 3,60,75.44,45.264,0.15,301.76,75.57
TR002883,Leaf,60,88.78,53.268,0.16,332.93,166.62
TR002884,Model 3,40,95.85,38.34,0.15,255.6,92.45
TR002885,Leaf,40,82.56,33.024,0.16,206.4,58.14
TR002886,Leaf,40,57.01,22.804,0.152,150.03,95.78
TR002887,ZS EV,60,66.17,39.702,0.216,183.81,110.19
TR002888,Leaf,40,44.99,17.996,0.16,112.48,0.38
TR002889,Atto 3,60,90.78,54.468,0.204,267.0,68.6
TR002890,ZS EV,40,68.17,27.268,0.171,159.46,36.89
TR002891,Leaf,50,67.27,33.635,0.16,210.22,20.65
TR002892,ZS EV,40,77.28,30.912,0.18,171.73,140.44
TR002893,Model 3,40,80.38,32.152,0.15,214.35,189.58
TR002894,Model 3,40,46.81,18.724,0.1425,131.4,99.33
TR002895,Model 3,60,58.96,35.376,0.15,235.84,81.69
TR002896,Model 3,75,66.05,49.538,0.15,330.25,174.41
TR002897,Leaf,75,87.93,65.948,0.16,412.17,346.97
TR002898,Atto 3,40,55.67,22.268,0.17,130.99,47.47
TR002899,ZS EV,75,93.69,70.267,0.18,390.38,83.55
TR002900,ZS EV,50,65.95,32.975,0.171,192.84,85.6
TR002901,Model 3,75,44.26,33.195,0.15,221.3,100.73
TR002902,Atto 3,40,78.57,31.428,0.204,154.06,23.92
TR002903,Atto 3,50,46.07,23.035,0.17,135.5,0.0
TR002904,Leaf,50,83.59,41.795,0.192,217.68,89.09
TR002905,Atto 3,40,91.76,36.704,0.17,215.91,124.16
TR002906,ZS EV,75,76.03,57.023,0.18,316.79,148.99
TR002907,ZS EV,50,58.55,29.275,0.18,162.64,92.24
TR002908,Atto 3,40,85.71,34.284,0.204,168.06,0.0
TR002909,Model 3,50,94.96,47.48,0.18,263.78,146.02
TR002910,Atto 3,60,87.53,52.518,0.17,308.93,119.36
TR002911,ZS EV,60,83.83,50.298,0.18,279.43,16.86
