trip_id,driver_id,vehicle_make,vehicle_model,origin,destination,distance_km,elevation_gain_m,trip_date,avg_speed,max_speed,acceleration_mean,acceleration_std,braking_intensity,trip_duration_min,road_type,weather,time_of_day,driving_style
TR003165,DRV0157,BYD,Atto 3,Anuradhapura,Colombo,164,239,2025-07-31 19:18:26,45.38,50.33,2.005,1.108,1.229,217,highway,cloudy,morning,Aggressive
TR003166,DRV0149,BYD,Atto 3,Colombo,Batticaloa,240,362,2025-06-06 19:18:26,56.01,60.33,0.448,0.049,0.154,238,coastal,light_rain,afternoon,Eco
TR003167,DRV0267,Nissan,Leaf,Ratnapura,Galle,268,208,2025-04-05 19:18:26,34.29,52.45,1.091,0.752,0.738,499,highway,sunny,night,Normal
TR003168,DRV0175,Nissan,Leaf,Galle,Colombo,79,46,2025-08-24 19:18:26,43.82,58.82,0.695,0.533,0.298,109,highway,cloudy,evening,Normal
TR003169,DRV0345,MG,ZS EV,Galle,Anuradhapura,81,132,2025-01-23 19:18:26,44.8,55.42,0.276,0.233,0.409,111,city,light_rain,evening,Normal
TR003170,DRV0264,Nissan,Leaf,Matara,Ratnapura,261,295,2025-02-11 19:18:26,34.55,42.36,0.727,0.945,0.705,394,coastal,sunny,afternoon,Normal
TR003171,DRV0320,Tesla,Model 3,Batticaloa,Jaffna,59,22,2024-12-03 19:18:26,42.29,55.57,0.848,0.852,0.084,78,city,cloudy,morning,Normal
TR003172,DRV0165,BYD,Atto 3,Anuradhapura,Batticaloa,159,123,2025-03-18 19:18:26,42.7,51.85,0.852,1.001,0.211,212,highway,monsoon,evening,Aggressive
TR003173,DRV0057,MG,ZS EV,Galle,Batticaloa,272,121,2025-05-04 19:18:26,42.3,52.01,0.897,0.313,0.294,381,rural,cloudy,evening,Normal
TR003174,DRV0367,BYD,Atto 3,Trincomalee,Matara,211,118,2025-03-04 19:18:26,41.27,50.67,0.455,0.078,0.342,316,city,monsoon,night,Eco
TR003175,DRV0166,BYD,Atto 3,Ratnapura,Galle,243,275,2025-06-30 19:18:26,53.2,61.8,1.059,0.211,0.415,290,rural,sunny,evening,Normal
TR003176,DRV0119,Nissan,Leaf,Ratnapura,Galle,459,307,2024-12-09 19:18:26,60.25,67.56,1.279,0.743,1.012,498,rural,cloudy,night,Aggressive
TR003177,DRV0302,Nissan,Leaf,Batticaloa,Colombo,350,130,2025-05-26 19:18:26,35.44,49.11,0.267,0.563,0.075,534,highway,cloudy,evening,Normal
TR003178,DRV0311,BYD,Atto 3,Anuradhapura,Batticaloa,112,37,2025-08-19 19:18:26,44.23,53.88,2.49,0.991,1.478,142,highway,monsoon,afternoon,Aggressive
TR003179,DRV0192,Nissan,Leaf,Galle,Ratnapura,379,131,2025-10-06 19:18:26,58.16,77.71,1.405,0.155,0.642,393,rural,heavy_rain,afternoon,Aggressive
TR003180,DRV0140,Tesla,Model 3,Batticaloa,Galle,312,256,2024-12-22 19:18:26,48.72,59.42,0.462,0.647,0.716,359,rural,cloudy,morning,Normal
TR003181,DRV0197,BYD,Atto 3,Matara,Colombo,174,87,2025-01-17 19:18:26,37.86,51.81,0.376,0.191,0.496,277,rural,cloudy,night,Normal
TR003182,DRV0198,Tesla,Model 3,Kandy,Kurunegala,138,95,2025-05-04 19:18:26,55.09,59.23,0.518,0.958,0.423,162,city,cloudy,night,Normal
TR003183,DRV0343,BYD,Atto 3,Galle,Kurunegala,62,128,2025-08-24 19:18:26,42.11,55.0,0.395,0.304,0.009,94,coastal,sunny,evening,Eco
TR003184,DRV0362,Tesla,Model 3,Trincomalee,Galle,237,224,2025-02-15 19:18:26,32.6,34.85,0.53,0.194,0.285,431,highway,sunny,evening,Eco
TR003185,DRV0289,MG,ZS EV,Ratnapura,Colombo,397,431,2025-06-05 19:18:26,53.06,60.95,0.625,0.459,0.689,407,highway,cloudy,night,Normal
TR003186,DRV0218,Nissan,Leaf,Batticaloa,Galle,336,165,2025-06-22 19:18:26,29.06,41.12,1.117,1.106,0.594,632,city,sunny,night,Aggressive
TR003187,DRV0030,BYD,Atto 3,Colombo,Kurunegala,187,131,2025-01-21 19:18:26,51.39,55.73,0.871,0.295,0.248,208,coastal,sunny,evening,Normal
TR003188,DRV0057,MG,ZS EV,Colombo,Kandy,106,143,2025-01-05 19:18:26,38.76,42.92,0.497,0.329,0.198,177,coastal,light_rain,night,Eco
TR003189,DRV0102,BYD,Atto 3,Galle,Anuradhapura,173,182,2025-02-10 19:18:26,29.33,42.17,0.217,0.837,0.35,306,rural,cloudy,morning,Normal
TR003190,DRV0010,MG,ZS EV,Ratnapura,Kandy,311,323,2025-01-14 19:18:26,42.94,53.75,1.142,0.768,0.357,418,rural,cloudy,afternoon,Normal
TR003191,DRV0267,BYD,Atto 3,Jaffna,Ratnapura,117,98,2025-01-04 19:18:26,49.89,63.71,1.444,0.391,0.092,153,city,cloudy,afternoon,Aggressive
TR003192,DRV0077,Tesla,Model 3,Colombo,Ratnapura,403,225,2025-09-14 19:18:26,50.23,61.48,0.245,0.152,0.769,532,city,cloudy,morning,Normal
TR003193,DRV0197,MG,ZS EV,Galle,Matara,66,69,2025-06-23 19:18:26,40.45,55.77,0.293,0.279,0.144,91,highway,sunny,afternoon,Eco
TR003194,DRV0003,Tesla,Model 3,Kurunegala,Colombo,104,155,2025-07-06 19:18:26,34.37,38.86,1.044,0.458,0.212,212,city,sunny,afternoon,Normal
TR003195,DRV0322,Tesla,Model 3,Kurunegala,Matara,49,40,2025-08-04 19:18:26,45.99,47.21,1.003,0.802,0.248,65,coastal,monsoon,afternoon,Normal
TR003196,DRV0224,MG,ZS EV,Galle,Ratnapura,432,324,2025-02-07 19:18:26,38.18,62.02,0.622,0.563,0.462,710,city,light_rain,afternoon,Normal
TR003197,DRV0242,BYD,Atto 3,Matara,Colombo,119,57,2024-12-13 19:18:26,55.98,66.67,0.406,0.496,0.362,122,city,light_rain,night,Eco
TR003198,DRV0041,BYD,Atto 3,Matara,Kurunegala,60,46,2025-09-29 19:18:26,70.11,76.74,0.174,0.234,0.421,55,coastal,cloudy,evening,Normal
TR003199,DRV0343,Tesla,Model 3,Trincomalee,Batticaloa,75,31,2025-03-29 19:18:26,39.42,54.77,0.759,0.821,0.291,115,coastal,monsoon,night,Normal
TR003200,DRV0016,Nissan,Leaf,Matara,Trincomalee,100,30,2025-08-29 19:18:26,50.95,64.47,0.969,0.564,0.186,131,highway,sunny,morning,Normal
TR003201,DRV0238,Nissan,Leaf,Anuradhapura,Kandy,112,120,2025-03-15 19:18:26,37.91,50.94,1.256,0.079,0.47,176,highway,light_rain,afternoon,Normal
TR003202,DRV0060,Tesla,Model 3,Ratnapura,Kurunegala,220,129,2025-03-16 19:18:26,40.27,49.32,0.892,0.367,0.297,357,coastal,sunny,night,Normal
TR003203,DRV0308,Nissan,Leaf,Trincomalee,Batticaloa,80,77,2025-01-26 19:18:26,46.34,59.67,3.229,1.197,1.337,109,rural,cloudy,afternoon,Aggressive
TR003204,DRV0102,BYD,Atto 3,Anuradhapura,Jaffna,91,47,2025-09-07 19:18:26,51.05,54.57,0.843,0.644,0.167,101,highway,cloudy,evening,Normal
TR003205,DRV0318,BYD,Atto 3,Batticaloa,Trincomalee,135,61,2025-04-22 19:18:26,39.46,51.77,0.691,0.4,0.135,208,highway,heavy_rain,afternoon,Normal
TR003206,DRV0108,Nissan,Leaf,Anuradhapura,Matara,155,35,2025-08-14 19:18:26,45.71,59.89,0.709,0.749,0.417,189,city,cloudy,morning,Normal
TR003207,DRV0192,Nissan,Leaf,Kurunegala,Trincomalee,150,75,2025-09-25 19:18:26,42.46,58.39,0.597,0.252,0.493,217,highway,monsoon,night,Normal
TR003208,DRV0277,BYD,Atto 3,Batticaloa,Trincomalee,76,72,2024-11-19 19:18:26,47.04,58.97,1.911,0.364,0.394,104,highway,monsoon,night,Aggressive
TR003209,DRV0225,Nissan,Leaf,Matara,Kandy,44,85,2025-08-23 19:18:26,53.84,67.17,0.607,0.384,0.357,53,rural,sunny,evening,Normal
TR003210,DRV0292,MG,ZS EV,Matara,Ratnapura,142,286,2025-07-21 19:18:26,44.1,65.81,0.564,0.303,0.277,173,rural,light_rain,night,Eco
TR003211,DRV0007,MG,ZS EV,Galle,Jaffna,179,294,2025-03-11 19:18:26,45.43,61.22,0.741,0.436,0.653,238,highway,cloudy,evening,Normal
TR003212,DRV0042,Nissan,Leaf,Matara,Trincomalee,114,72,2025-02-23 19:18:26,53.77,56.77,1.452,0.868,0.931,138,city,sunny,morning,Aggressive
TR003213,DRV0079,Nissan,Leaf,Matara,Ratnapura,269,212,2025-06-15 19:18:26,58.96,68.26,0.65,0.261,0.007,284,city,sunny,evening,Normal
TR003214,DRV0334,Tesla,Model 3,Kandy,Anuradhapura,120,162,2025-02-15 19:18:26,44.87,55.91,0.912,1.072,0.194,164,coastal,sunny,evening,Aggressive
TR003215,DRV0162,Nissan,Leaf,Colombo,Batticaloa,429,120,2025-09-28 19:18:26,43.33,51.66,1.311,0.861,0.175,581,rural,monsoon,morning,Normal
TR003216,DRV0024,BYD,Atto 3,Batticaloa,Colombo,352,224,2025-04-03 19:18:26,40.73,55.28,0.915,0.63,0.316,570,highway,sunny,morning,Normal
TR003217,DRV0283,Tesla,Model 3,Trincomalee,Jaffna,61,46,2025-03-06 19:18:26,59.25,74.82,0.669,0.656,0.175,62,rural,heavy_rain,morning,Normal
TR003218,DRV0168,Nissan,Leaf,Colombo,Ratnapura,396,426,2025-02-03 19:18:26,42.49,44.65,0.195,0.322,0.29,557,rural,light_rain,evening,Eco
TR003219,DRV0138,MG,ZS EV,Trincomalee,Ratnapura,73,155,2025-07-27 19:18:26,42.96,67.6,0.872,0.709,0.566,91,highway,light_rain,evening,Normal
TR003220,DRV0381,Tesla,Model 3,Batticaloa,Jaffna,98,11,2025-03-27 19:18:26,47.64,60.48,0.666,0.4,0.503,126,coastal,cloudy,night,Normal
TR003221,DRV0387,MG,ZS EV,Batticaloa,Jaffna,67,14,2025-04-29 19:18:26,48.18,76.24,0.552,0.538,0.178,86,coastal,heavy_rain,evening,Normal
TR003222,DRV0356,Nissan,Leaf,Colombo,Jaffna,411,319,2025-09-07 19:18:26,44.91,57.6,1.082,1.276,1.241,529,rural,monsoon,morning,Aggressive
TR003223,DRV0351,Tesla,Model 3,Batticaloa,Matara,214,85,2025-07-01 19:18:26,59.59,64.67,1.444,0.817,0.591,212,city,light_rain,evening,Aggressive
TR003224,DRV0011,MG,ZS EV,Anuradhapura,Ratnapura,142,137,2025-05-17 19:18:26,47.11,48.45,1.386,0.607,0.266,190,city,cloudy,morning,Normal
TR003225,DRV0169,Nissan,Leaf,Batticaloa,Colombo,394,104,2025-02-25 19:18:26,35.21,49.75,1.243,0.883,1.213,649,coastal,cloudy,morning,Aggressive
TR003226,DRV0294,Nissan,Leaf,Ratnapura,Colombo,554,287,2025-07-25 19:18:26,28.5,36.02,1.096,0.627,0.087,1291,city,monsoon,afternoon,Normal
TR003227,DRV0181,BYD,Atto 3,Kurunegala,Ratnapura,285,278,2025-06-11 19:18:26,46.3,56.33,0.774,0.421,0.608,352,coastal,cloudy,evening,Normal
TR003228,DRV0308,Nissan,Leaf,Matara,Kandy,75,80,2025-07-26 19:18:26,42.79,55.81,0.891,0.109,0.323,117,highway,light_rain,night,Normal
TR003229,DRV0165,BYD,Atto 3,Galle,Kandy,63,73,2025-01-15 19:18:26,51.78,55.25,0.495,0.325,0.504,71,highway,sunny,morning,Normal
TR003230,DRV0281,Nissan,Leaf,Ratnapura,Kandy,286,365,2024-11-13 19:18:26,44.82,58.5,0.798,0.756,0.223,345,city,light_rain,night,Normal
TR003231,DRV0120,Nissan,Leaf,Colombo,Matara,128,103,2025-01-22 19:18:26,46.48,54.38,1.734,0.659,0.304,166,city,cloudy,night,Aggressive
TR003232,DRV0197,Nissan,Leaf,Jaffna,Matara,249,44,2025-09-08 19:18:26,43.02,58.33,0.886,0.659,0.41,391,city,sunny,morning,Normal
TR003233,DRV0067,BYD,Atto 3,Colombo,Anuradhapura,292,73,2024-12-20 19:18:26,30.13,39.13,1.349,0.851,0.359,580,city,light_rain,afternoon,Normal
TR003234,DRV0248,Nissan,Leaf,Jaffna,Trincomalee,40,29,2025-07-18 19:18:26,32.46,33.43,0.252,0.486,0.424,65,city,heavy_rain,morning,Normal
TR003235,DRV0141,BYD,Atto 3,Galle,Kandy,66,80,2025-08-20 19:18:26,66.44,75.64,1.738,1.008,1.362,56,highway,sunny,evening,Aggressive
TR003236,DRV0241,Tesla,Model 3,Anuradhapura,Kurunegala,55,18,2024-12-29 19:18:26,50.56,50.61,2.144,1.267,0.74,61,coastal,sunny,evening,Aggressive
TR003237,DRV0158,Tesla,Model 3,Trincomalee,Kurunegala,104,21,2025-07-27 19:18:26,40.3,58.88,0.473,0.22,0.093,145,highway,cloudy,morning,Eco
TR003238,DRV0248,MG,ZS EV,Matara,Anuradhapura,126,34,2025-05-22 19:18:26,41.09,62.4,0.981,0.05,0.595,173,rural,heavy_rain,evening,Normal
TR003239,DRV0293,Tesla,Model 3,Matara,Kurunegala,68,41,2025-03-07 19:18:26,50.17,58.41,1.598,1.771,1.689,83,rural,cloudy,morning,Aggressive
TR003240,DRV0342,MG,ZS EV,Batticaloa,Ratnapura,84,89,2024-12-22 19:18:26,44.01,49.43,0.518,0.167,0.161,114,highway,heavy_rain,evening,Eco
TR003241,DRV0151,Nissan,Leaf,Jaffna,Kurunegala,124,73,2025-01-22 19:18:26,43.0,58.56,0.603,0.156,0.359,161,coastal,cloudy,morning,Normal
TR003242,DRV0253,MG,ZS EV,Batticaloa,Kurunegala,133,184,2025-05-26 19:18:26,49.62,49.96,2.02,1.352,0.606,189,coastal,monsoon,night,Aggressive
TR003243,DRV0221,MG,ZS EV,Kurunegala,Ratnapura,306,230,2025-03-13 19:18:26,35.83,39.07,2.144,1.782,1.184,469,coastal,heavy_rain,morning,Aggressive
TR003244,DRV0075,MG,ZS EV,Batticaloa,Trincomalee,76,29,2024-12-05 19:18:26,26.99,38.36,1.13,1.126,0.647,177,coastal,heavy_rain,morning,Aggressive
TR003245,DRV0028,Nissan,Leaf,Kandy,Ratnapura,474,390,2025-06-18 19:18:26,37.51,52.08,1.456,0.339,0.134,765,rural,cloudy,morning,Aggressive
TR003246,DRV0363,Tesla,Model 3,Anuradhapura,Trincomalee,62,14,2025-08-01 19:18:26,60.58,68.1,2.07,1.216,1.238,62,rural,sunny,night,Aggressive
TR003247,DRV0021,BYD,Atto 3,Ratnapura,Colombo,428,468,2025-06-09 19:18:26,37.67,54.46,0.946,0.66,0.992,673,coastal,sunny,morning,Aggressive
TR003248,DRV0228,Nissan,Leaf,Matara,Batticaloa,227,64,2025-05-08 19:18:26,74.17,83.1,0.597,0.074,0.016,175,coastal,sunny,morning,Eco
TR003249,DRV0324,Tesla,Model 3,Batticaloa,Trincomalee,129,52,2025-02-02 19:18:26,48.13,48.3,0.82,0.213,0.605,149,city,sunny,morning,Normal
TR003250,DRV0219,MG,ZS EV,Trincomalee,Matara,113,37,2025-04-15 19:18:26,36.16,43.7,0.4,0.314,0.326,181,city,monsoon,evening,Eco
TR003251,DRV0398,Tesla,Model 3,Ratnapura,Batticaloa,61,95,2025-10-15 19:18:26,26.66,47.82,0.827,0.728,0.656,119,rural,cloudy,evening,Normal
TR003252,DRV0308,BYD,Atto 3,Colombo,Batticaloa,297,389,2025-06-24 19:18:26,35.16,41.62,2.008,1.605,0.51,519,city,heavy_rain,morning,Aggressive
TR003253,DRV0372,MG,ZS EV,Batticaloa,Trincomalee,159,33,2025-10-08 19:18:26,49.13,49.67,0.285,0.461,0.099,187,coastal,heavy_rain,afternoon,Eco
TR003254,DRV0028,BYD,Atto 3,Galle,Batticaloa,291,200,2025-07-01 19:18:26,56.2,57.86,0.825,0.3,0.419,311,coastal,heavy_rain,night,Normal
TR003255,DRV0143,MG,ZS EV,Matara,Batticaloa,179,248,2025-02-26 19:18:26,35.27,45.99,0.628,0.623,0.248,284,rural,monsoon,night,Normal
TR003256,DRV0054,BYD,Atto 3,Colombo,Jaffna,256,221,2024-12-03 19:18:26,44.1,49.75,0.787,0.924,0.835,370,rural,cloudy,night,Normal
TR003257,DRV0047,BYD,Atto 3,Jaffna,Ratnapura,92,89,2024-10-29 19:18:26,31.07,49.89,0.28,0.313,0.132,177,coastal,heavy_rain,morning,Eco
TR003258,DRV0061,MG,ZS EV,Trincomalee,Galle,291,130,2025-03-21 19:18:26,46.53,56.91,0.758,0.987,0.484,352,rural,sunny,morning,Normal
TR003259,DRV0244,Tesla,Model 3,Ratnapura,Jaffna,95,81,2025-06-28 19:18:26,46.95,57.37,0.672,0.427,0.41,122,city,sunny,night,Normal
TR003260,DRV0377,Nissan,Leaf,Matara,Ratnapura,344,203,2025-08-31 19:18:26,39.7,54.44,0.914,0.522,0.41,545,coastal,cloudy,evening,Normal
TR003261,DRV0397,Nissan,Leaf,Galle,Trincomalee,317,231,2025-08-12 19:18:26,35.29,43.11,0.387,0.476,0.29,588,highway,cloudy,evening,Eco
TR003262,DRV0345,Nissan,Leaf,Anuradhapura,Kurunegala,40,36,2025-07-07 19:18:26,36.4,37.72,0.656,0.289,0.271,63,highway,sunny,evening,Normal
TR003263,DRV0313,MG,ZS EV,Galle,Kandy,58,85,2024-10-23 19:18:26,60.65,67.09,1.186,1.097,0.624,59,city,heavy_rain,evening,Aggressive
TR003264,DRV0127,BYD,Atto 3,Kurunegala,Kandy,103,114,2025-06-30 19:18:26,32.05,52.16,0.571,0.483,0.482,180,coastal,sunny,evening,Normal
TR003265,DRV0185,BYD,Atto 3,Kandy,Kurunegala,96,149,2024-11-08 19:18:26,51.46,63.57,0.491,0.215,0.271,113,coastal,light_rain,evening,Eco
TR003266,DRV0057,Tesla,Model 3,Galle,Jaffna,175,62,2024-11-18 19:18:26,42.13,57.05,0.957,0.832,0.086,248,highway,cloudy,evening,Normal
TR003267,DRV0355,BYD,Atto 3,Batticaloa,Galle,248,70,2025-03-06 19:18:26,31.49,48.93,0.651,0.055,0.125,402,rural,monsoon,evening,Normal
TR003268,DRV0033,BYD,Atto 3,Anuradhapura,Colombo,183,192,2024-12-25 19:18:26,49.75,64.29,0.566,0.423,0.681,220,coastal,cloudy,night,Normal
TR003269,DRV0274,Nissan,Leaf,Anuradhapura,Matara,97,66,2025-04-24 19:18:26,41.21,50.33,0.633,0.327,0.087,133,highway,cloudy,afternoon,Normal
TR003270,DRV0076,BYD,Atto 3,Matara,Trincomalee,172,35,2025-05-20 19:18:26,47.27,58.63,0.402,0.29,0.292,235,city,light_rain,afternoon,Eco
TR003271,DRV0237,BYD,Atto 3,Trincomalee,Kurunegala,132,96,2025-04-03 19:18:26,39.23,52.18,0.337,0.241,0.174,221,coastal,monsoon,evening,Eco
TR003272,DRV0333,MG,ZS EV,Kandy,Trincomalee,148,163,2025-07-22 19:18:26,64.61,73.05,0.672,0.155,0.286,147,coastal,sunny,morning,Normal
TR003273,DRV0071,MG,ZS EV,Ratnapura,Jaffna,84,85,2025-09-06 19:18:26,62.71,90.52,0.557,0.505,0.342,78,city,sunny,evening,Normal
TR003274,DRV0343,Tesla,Model 3,Kurunegala,Jaffna,120,144,2025-03-20 19:18:26,43.02,51.39,0.505,0.071,0.409,185,highway,light_rain,afternoon,Normal
TR003275,DRV0383,MG,ZS EV,Batticaloa,Matara,202,181,2025-03-29 19:18:26,43.63,50.23,2.017,0.685,1.531,277,city,heavy_rain,morning,Aggressive
TR003276,DRV0078,MG,ZS EV,Kandy,Batticaloa,249,230,2025-09-14 19:18:26,49.05,49.5,1.716,1.184,1.94,314,highway,light_rain,morning,Aggressive
TR003277,DRV0166,BYD,Atto 3,Anuradhapura,Trincomalee,73,37,2025-01-12 19:18:26,35.3,50.22,0.931,0.703,0.479,123,rural,heavy_rain,night,Normal
TR003278,DRV0106,Tesla,Model 3,Batticaloa,Jaffna,70,14,2024-12-08 19:18:26,57.64,65.13,1.074,0.839,0.492,79,city,cloudy,night,Normal
TR003279,DRV0345,BYD,Atto 3,Galle,Anuradhapura,131,178,2024-11-04 19:18:26,67.59,76.33,0.077,0.735,0.424,123,coastal,cloudy,afternoon,Normal
TR003280,DRV0300,BYD,Atto 3,Jaffna,Colombo,307,85,2025-03-02 19:18:26,32.81,43.97,0.862,0.812,0.597,542,coastal,sunny,afternoon,Normal
TR003281,DRV0001,Tesla,Model 3,Trincomalee,Colombo,455,189,2025-06-22 19:18:26,79.03,79.26,0.834,0.294,0.319,360,city,sunny,night,Normal
TR003282,DRV0104,Tesla,Model 3,Kandy,Kurunegala,104,109,2025-06-17 19:18:26,31.06,37.43,1.09,0.879,0.337,173,city,light_rain,afternoon,Normal
TR003283,DRV0011,BYD,Atto 3,Kandy,Ratnapura,290,354,2024-12-11 19:18:26,59.81,64.27,0.631,0.624,0.293,310,rural,sunny,morning,Normal
TR003284,DRV0133,Tesla,Model 3,Kurunegala,Anuradhapura,55,27,2024-11-27 19:18:26,44.72,59.26,0.273,0.32,0.332,71,city,cloudy,night,Eco
TR003285,DRV0122,BYD,Atto 3,Kurunegala,Batticaloa,205,61,2025-05-21 19:18:26,61.07,72.9,0.845,0.416,0.676,212,highway,cloudy,night,Normal
TR003286,DRV0045,MG,ZS EV,Matara,Kandy,69,96,2025-04-16 19:18:26,65.1,72.61,0.611,0.164,0.451,71,highway,sunny,night,Normal
TR003287,DRV0155,BYD,Atto 3,Colombo,Kandy,109,118,2025-10-03 19:18:26,36.33,41.78,1.099,0.751,0.283,169,city,sunny,afternoon,Normal
TR003288,DRV0354,BYD,Atto 3,Jaffna,Anuradhapura,156,96,2025-07-10 19:18:26,41.91,53.14,0.465,0.236,0.046,208,city,cloudy,evening,Eco
TR003289,DRV0144,Nissan,Leaf,Batticaloa,Ratnapura,47,76,2025-08-04 19:18:26,45.34,56.74,0.438,0.136,0.253,59,coastal,light_rain,evening,Eco
TR003290,DRV0052,BYD,Atto 3,Ratnapura,Trincomalee,159,148,2025-03-17 19:18:26,56.38,65.02,1.196,0.426,0.243,177,city,sunny,evening,Normal
TR003291,DRV0163,Nissan,Leaf,Kandy,Kurunegala,96,140,2025-10-15 19:18:26,63.09,68.13,0.982,0.711,0.576,97,city,sunny,night,Normal
TR003292,DRV0219,Tesla,Model 3,Jaffna,Galle,288,223,2024-12-06 19:18:26,24.53,26.7,0.477,0.406,0.246,619,rural,sunny,morning,Eco
TR003293,DRV0233,MG,ZS EV,Anuradhapura,Galle,182,198,2024-11-16 19:18:26,46.07,59.21,1.099,0.667,0.398,235,coastal,cloudy,evening,Normal
TR003294,DRV0008,MG,ZS EV,Galle,Kurunegala,209,44,2025-01-23 19:18:26,37.66,44.54,0.576,0.093,0.336,334,city,monsoon,afternoon,Eco
TR003295,DRV0146,Tesla,Model 3,Kandy,Batticaloa,160,292,2025-03-07 19:18:26,45.42,65.61,0.826,0.595,0.594,219,city,sunny,evening,Normal
TR003296,DRV0342,BYD,Atto 3,Jaffna,Kandy,84,103,2025-06-08 19:18:26,40.65,57.36,1.448,0.435,0.661,103,city,heavy_rain,evening,Aggressive
TR003297,DRV0387,BYD,Atto 3,Colombo,Anuradhapura,289,103,2025-04-26 19:18:26,49.17,55.63,2.221,1.089,1.254,366,coastal,sunny,afternoon,Aggressive
TR003298,DRV0067,BYD,Atto 3,Colombo,Ratnapura,250,394,2024-10-23 19:18:26,29.46,46.38,0.566,0.849,0.565,469,highway,cloudy,evening,Normal
TR003299,DRV0187,Nissan,Leaf,Kurunegala,Trincomalee,124,35,2025-02-28 19:18:26,43.83,57.71,0.378,0.352,0.128,163,coastal,sunny,afternoon,Eco
TR003300,DRV0042,MG,ZS EV,Matara,Ratnapura,198,299,2024-11-11 19:18:26,42.63,56.79,1.446,0.898,0.506,252,highway,sunny,evening,Aggressive
TR003301,DRV0324,BYD,Atto 3,Galle,Ratnapura,303,232,2024-12-28 19:18:26,52.82,64.36,1.134,0.223,0.489,375,coastal,cloudy,afternoon,Normal
TR003302,DRV0019,Tesla,Model 3,Kurunegala,Colombo,247,130,2025-04-08 19:18:26,34.45,43.83,2.406,0.984,1.047,427,highway,cloudy,morning,Aggressive
TR003303,DRV0335,MG,ZS EV,Galle,Kandy,71,82,2025-02-18 19:18:26,44.69,55.77,0.252,0.007,0.239,99,highway,heavy_rain,afternoon,Eco
TR003304,DRV0101,MG,ZS EV,Kandy,Trincomalee,98,216,2025-05-02 19:18:26,50.6,55.01,2.565,1.271,0.746,120,highway,cloudy,evening,Aggressive
TR003305,DRV0124,MG,ZS EV,Batticaloa,Matara,273,235,2024-12-27 19:18:26,39.46,42.27,1.025,0.401,0.567,431,city,light_rain,afternoon,Normal
TR003306,DRV0213,MG,ZS EV,Galle,Anuradhapura,231,126,2025-01-20 19:18:26,39.94,54.53,0.77,0.675,0.392,390,rural,monsoon,morning,Normal
TR003307,DRV0153,Tesla,Model 3,Batticaloa,Anuradhapura,139,65,2025-07-14 19:18:26,36.64,56.91,1.531,1.672,0.529,198,coastal,sunny,morning,Aggressive
TR003308,DRV0388,Tesla,Model 3,Kandy,Anuradhapura,105,82,2025-02-22 19:18:26,48.16,56.91,0.939,0.542,0.73,136,city,sunny,evening,Normal
TR003309,DRV0219,BYD,Atto 3,Batticaloa,Galle,279,97,2024-11-27 19:18:26,35.44,36.18,0.541,0.369,0.354,445,rural,heavy_rain,afternoon,Eco
TR003310,DRV0159,Nissan,Leaf,Anuradhapura,Matara,57,62,2025-02-22 19:18:26,45.27,62.07,0.871,1.01,0.703,85,highway,light_rain,night,Aggressive
TR003311,DRV0302,Tesla,Model 3,Matara,Anuradhapura,117,40,2024-11-27 19:18:26,42.35,56.86,0.437,0.181,0.47,159,highway,sunny,morning,Normal
TR003312,DRV0033,BYD,Atto 3,Galle,Anuradhapura,181,90,2025-02-20 19:18:26,35.98,43.43,1.505,1.027,0.795,308,highway,sunny,afternoon,Aggressive
TR003313,DRV0002,Nissan,Leaf,Trincomalee,Kurunegala,118,37,2025-08-01 19:18:26,36.97,45.02,1.389,0.736,0.35,204,city,sunny,morning,Normal
TR003314,DRV0074,BYD,Atto 3,Trincomalee,Colombo,234,221,2025-02-03 19:18:26,53.82,71.96,1.104,0.555,0.014,270,rural,cloudy,night,Normal
TR003315,DRV0173,BYD,Atto 3,Kandy,Trincomalee,234,107,2024-11-11 19:18:26,43.21,62.4,2.07,1.299,1.009,324,city,light_rain,morning,Aggressive
TR003316,DRV0208,Nissan,Leaf,Matara,Colombo,106,76,2025-04-03 19:18:26,36.12,56.47,1.058,0.286,0.478,181,city,sunny,evening,Normal
TR003317,DRV0263,Tesla,Model 3,Kandy,Jaffna,232,206,2025-01-30 19:18:26,33.36,60.22,0.644,0.767,0.733,377,highway,light_rain,morning,Normal
TR003318,DRV0055,Tesla,Model 3,Kurunegala,Jaffna,205,38,2025-05-22 19:18:26,44.47,48.55,0.515,1.862,0.946,278,coastal,sunny,night,Aggressive
TR003319,DRV0186,BYD,Atto 3,Batticaloa,Colombo,393,339,2025-01-21 19:18:26,41.12,56.72,1.604,1.069,0.42,669,highway,heavy_rain,afternoon,Aggressive
TR003320,DRV0342,Nissan,Leaf,Jaffna,Matara,178,164,2025-05-04 19:18:26,25.35,44.79,0.367,0.28,0.272,358,coastal,heavy_rain,afternoon,Eco
TR003321,DRV0050,MG,ZS EV,Colombo,Anuradhapura,206,191,2025-05-29 19:18:26,43.88,45.6,1.155,0.829,0.703,267,city,cloudy,afternoon,Normal
TR003322,DRV0203,BYD,Atto 3,Colombo,Jaffna,345,127,2025-05-05 19:18:26,41.69,50.42,0.494,0.309,0.327,441,rural,sunny,night,Eco
