trip_id,vehicle_model,distance_km,driving_style,road_type,weather,elevation_gain_m,avg_speed,energy_consumed_kWh,battery_capacity_kWh,battery_start_%,battery_end_%
TR013011,ZS EV,107,Normal,highway,heavy_rain,88,65.53,19.655,50,97.12,57.81
TR013012,Leaf,269,Normal,rural,sunny,309,48.87,42.353,50,57.12,0.0
TR013013,Leaf,126,Normal,city,cloudy,85,46.34,21.295,50,49.28,6.69
TR013014,ZS EV,356,Normal,rural,light_rain,361,41.98,65.657,60,46.81,0.0
TR013015,Leaf,66,Normal,rural,sunny,49,55.57,10.331,40,83.06,57.23
TR013016,Leaf,198,Normal,city,sunny,124,54.37,33.419,40,95.03,11.48
TR013017,Atto 3,92,Normal,rural,cloudy,90,43.28,15.231,75,89.74,69.43
TR013018,Leaf,300,Eco,rural,light_rain,108,49.95,44.674,40,43.59,0.0
TR013019,Leaf,156,Normal,city,cloudy,144,45.28,27.007,40,62.72,0.0
TR013020,Model 3,284,Normal,highway,light_rain,77,56.74,40.873,75,73.71,19.21
TR013021,ZS EV,361,Normal,rural,light_rain,162,50.78,68.751,50,50.75,0.0
TR013022,Model 3,281,Normal,city,cloudy,219,67.53,44.439,40,84.15,0.0
TR013023,Leaf,311,Aggressive,highway,heavy_rain,298,48.52,66.187,50,73.89,0.0
TR013024,Atto 3,265,Normal,coastal,sunny,181,27.99,44.88,50,64.95,0.0
TR013025,Atto 3,125,Eco,highway,sunny,133,48.85,18.474,40,79.97,33.79
TR013026,ZS EV,180,Normal,highway,monsoon,184,35.38,34.152,75,41.47,0.0
TR013027,Leaf,354,Aggressive,city,heavy_rain,355,57.35,86.42,50,54.98,0.0
TR013028,Model 3,187,Normal,coastal,cloudy,114,64.91,28.858,75,85.58,47.1
TR013029,Atto 3,53,Normal,coastal,light_rain,73,55.56,9.508,40,96.91,73.14
TR013030,ZS EV,236,Normal,coastal,light_rain,205,39.86,44.025,60,77.02,3.65
TR013031,Atto 3,236,Normal,city,cloudy,163,24.89,44.299,60,51.9,0.0
TR013032,Leaf,285,Normal,highway,sunny,127,38.92,43.384,60,40.48,0.0
TR013033,Leaf,38,Eco,rural,sunny,81,49.59,5.502,50,90.61,79.61
TR013034,Atto 3,114,Aggressive,city,cloudy,138,26.97,26.474,40,92.81,26.63
TR013035,Atto 3,55,Normal,city,monsoon,32,42.08,11.19,50,40.39,18.01
TR013036,Model 3,187,Aggressive,highway,monsoon,61,55.92,38.317,60,61.77,0.0
TR013037,ZS EV,72,Aggressive,coastal,sunny,30,39.55,17.38,60,50.68,21.71
TR013038,ZS EV,166,Normal,city,light_rain,155,51.41,33.429,75,91.17,46.6
TR013039,Model 3,144,Eco,city,sunny,188,55.24,21.073,50,69.87,27.72
TR013040,Leaf,132,Normal,coastal,sunny,128,42.33,21.184,60,91.17,55.86
TR013041,Atto 3,261,Aggressive,coastal,sunny,192,44.26,59.518,50,52.9,0.0
TR013042,Atto 3,126,Normal,city,sunny,123,39.63,22.097,40,71.31,16.07
TR013043,Model 3,321,Eco,coastal,monsoon,206,48.28,48.991,50,92.68,0.0
TR013044,Model 3,166,Normal,highway,monsoon,164,64.03,26.81,40,88.3,21.27
TR013045,Atto 3,151,Normal,rural,monsoon,67,48.81,29.485,75,52.65,13.34
TR013046,ZS EV,105,Normal,city,heavy_rain,39,36.36,20.869,50,42.5,0.76
TR013047,Leaf,264,Eco,rural,sunny,212,68.09,38.202,40,57.51,0.0
TR013048,Model 3,196,Aggressive,rural,light_rain,247,46.58,38.869,40,42.3,0.0
TR013049,Leaf,340,Normal,rural,cloudy,94,40.57,54.941,75,59.46,0.0
TR013050,Leaf,170,Normal,city,monsoon,127,68.22,33.292,60,53.36,0.0
TR013051,Atto 3,230,Normal,city,heavy_rain,102,39.91,43.676,50,56.15,0.0
TR013052,Model 3,307,Aggressive,rural,heavy_rain,312,43.77,64.298,40,49.3,0.0
TR013053,Model 3,70,Normal,coastal,light_rain,95,47.76,11.131,40,87.89,60.06
TR013054,Leaf,73,Eco,city,cloudy,265,40.49,10.787,50,83.35,61.78
TR013055,Atto 3,238,Normal,highway,heavy_rain,63,44.25,41.365,75,88.24,33.09
TR013056,Model 3,59,Normal,rural,cloudy,84,30.09,8.956,50,59.93,42.02
TR013057,ZS EV,302,Normal,coastal,light_rain,224,36.32,58.84,75,90.96,12.51
TR013058,ZS EV,46,Aggressive,rural,monsoon,12,25.63,12.153,60,50.1,29.85
TR013059,Atto 3,372,Aggressive,rural,monsoon,147,49.25,89.64,75,56.43,0.0
TR013060,Atto 3,231,Normal,highway,cloudy,322,31.22,37.793,75,47.94,0.0
TR013061,Atto 3,162,Normal,city,light_rain,138,56.76,30.58,75,97.09,56.32
TR013062,Leaf,63,Aggressive,highway,monsoon,83,47.51,13.652,60,48.79,26.04
TR013063,Atto 3,67,Normal,coastal,cloudy,86,59.05,12.166,40,86.45,56.03
TR013064,ZS EV,55,Normal,coastal,light_rain,34,41.09,10.556,50,56.05,34.94
TR013065,Leaf,167,Normal,city,light_rain,279,53.64,29.911,75,93.24,53.36
TR013066,Leaf,205,Aggressive,rural,sunny,33,61.31,42.189,40,66.01,0.0
TR013067,ZS EV,62,Normal,coastal,cloudy,33,50.7,11.575,75,47.08,31.65
TR013068,Model 3,115,Normal,city,monsoon,62,42.09,20.092,40,53.89,3.66
TR013069,Model 3,142,Aggressive,coastal,heavy_rain,144,49.3,29.87,75,86.88,47.05
TR013070,Leaf,149,Aggressive,rural,cloudy,30,35.28,31.964,60,43.94,0.0
TR013071,Atto 3,132,Aggressive,highway,sunny,196,38.03,28.606,60,66.33,18.65
TR013072,ZS EV,78,Aggressive,rural,cloudy,75,68.68,18.724,40,51.78,4.97
TR013073,ZS EV,253,Aggressive,city,cloudy,110,63.75,65.957,60,97.36,0.0
TR013074,Model 3,265,Normal,rural,cloudy,72,45.05,40.308,50,50.09,0.0
TR013075,ZS EV,158,Normal,highway,sunny,63,22.19,26.999,50,75.34,21.34
TR013076,Model 3,208,Normal,highway,sunny,152,54.72,30.102,50,55.11,0.0
TR013077,Model 3,66,Normal,city,sunny,18,51.1,10.301,60,74.14,56.97
TR013078,ZS EV,207,Aggressive,coastal,sunny,87,50.52,48.146,50,51.91,0.0
TR013079,ZS EV,64,Normal,city,heavy_rain,32,58.64,13.139,60,73.76,51.86
TR013080,Leaf,230,Normal,highway,monsoon,241,36.06,39.698,75,49.81,0.0
TR013081,Atto 3,115,Eco,city,sunny,67,29.05,19.458,75,96.85,70.91
TR013082,Leaf,115,Normal,coastal,cloudy,33,46.94,18.246,60,49.94,19.53
TR013083,Model 3,128,Aggressive,highway,cloudy,33,44.89,23.766,60,90.54,50.93
TR013084,Leaf,55,Normal,highway,monsoon,20,48.09,9.751,40,59.81,35.43
TR013085,Model 3,242,Normal,rural,sunny,223,38.92,37.469,40,58.49,0.0
TR013086,ZS EV,175,Normal,coastal,sunny,237,33.76,33.258,50,60.4,0.0
TR013087,ZS EV,83,Normal,rural,monsoon,125,26.98,17.27,50,71.8,37.26
TR013088,ZS EV,77,Eco,highway,sunny,101,50.15,11.888,50,49.76,25.98
TR013089,ZS EV,35,Normal,highway,sunny,98,58.06,5.993,75,60.16,52.17
TR013090,ZS EV,199,Normal,rural,sunny,199,44.85,36.31,75,51.36,2.95
TR013091,ZS EV,325,Normal,rural,sunny,134,60.24,59.506,60,43.21,0.0
TR013092,Model 3,359,Aggressive,city,sunny,88,38.46,73.586,40,60.9,0.0
TR013093,Model 3,176,Eco,rural,sunny,99,48.59,23.828,60,88.67,48.96
TR013094,Model 3,255,Normal,highway,sunny,132,43.03,36.309,75,44.88,0.0
TR013095,ZS EV,69,Normal,rural,sunny,19,47.52,12.351,50,50.59,25.89
TR013096,Atto 3,102,Aggressive,coastal,monsoon,72,25.5,25.302,60,85.34,43.17
TR013097,Atto 3,243,Normal,coastal,cloudy,138,25.31,42.922,75,94.98,37.75
TR013098,ZS EV,187,Normal,highway,sunny,157,27.1,31.166,75,56.22,14.67
TR013099,ZS EV,91,Normal,coastal,cloudy,119,45.81,16.67,75,69.9,47.67
TR013100,Model 3,172,Normal,coastal,sunny,58,58.09,26.144,75,86.51,51.65
TR013101,Atto 3,116,Normal,coastal,cloudy,148,44.14,20.365,60,91.28,57.34
TR013102,ZS EV,258,Aggressive,rural,sunny,167,53.5,61.992,75,64.73,0.0
TR013103,Atto 3,202,Aggressive,highway,cloudy,118,52.64,42.747,50,40.89,0.0
TR013104,Atto 3,171,Eco,city,sunny,73,38.86,27.318,75,42.82,6.4
TR013105,Model 3,161,Normal,rural,light_rain,104,31.18,24.758,40,85.98,24.09
TR013106,Atto 3,184,Normal,highway,sunny,164,34.18,29.487,50,66.74,7.77
TR013107,Atto 3,193,Normal,city,cloudy,216,60.19,35.824,40,77.3,0.0
TR013108,Leaf,65,Normal,coastal,monsoon,113,26.5,12.023,75,82.42,66.39
TR013109,ZS EV,145,Normal,city,light_rain,143,54.18,29.524,50,51.55,0.0
TR013110,Atto 3,78,Eco,rural,sunny,37,39.72,11.237,50,82.32,59.85
TR013111,ZS EV,164,Normal,city,light_rain,179,52.26,31.918,50,83.97,20.13
TR013112,Leaf,130,Aggressive,rural,sunny,52,43.89,28.035,40,89.45,19.36
TR013113,Leaf,75,Normal,city,monsoon,75,51.11,13.662,60,40.99,18.22
TR013114,Model 3,317,Aggressive,coastal,sunny,200,49.08,61.808,75,83.39,0.98
TR013115,Atto 3,42,Normal,city,sunny,16,54.23,7.169,60,54.9,42.95
TR013116,Atto 3,76,Aggressive,city,heavy_rain,91,62.12,19.275,60,49.22,17.09
TR013117,Leaf,164,Aggressive,city,sunny,185,39.36,36.98,60,82.56,20.93
TR013118,ZS EV,135,Normal,highway,cloudy,21,43.82,23.87,40,41.8,0.0
TR013119,Atto 3,290,Normal,highway,sunny,245,50.38,47.909,50,82.64,0.0
TR013120,Model 3,131,Normal,rural,sunny,62,37.38,19.813,60,95.36,62.34
TR013121,ZS EV,72,Normal,city,light_rain,68,42.35,13.808,50,82.01,54.39
TR013122,Atto 3,352,Eco,highway,sunny,168,57.57,50.935,60,87.96,3.07
TR013123,ZS EV,88,Aggressive,highway,sunny,60,51.1,18.811,75,99.75,74.67
TR013124,Leaf,65,Normal,city,sunny,93,37.53,11.237,50,78.93,56.46
TR013125,Leaf,268,Normal,rural,sunny,107,58.37,43.274,75,62.69,4.99
TR013126,ZS EV,136,Normal,coastal,monsoon,101,53.6,27.379,75,47.14,10.63
TR013127,ZS EV,208,Eco,highway,cloudy,145,44.03,33.789,50,75.31,7.73
TR013128,Leaf,279,Aggressive,city,cloudy,336,45.35,61.695,40,57.27,0.0
TR013129,Atto 3,94,Eco,city,light_rain,146,44.89,15.656,75,80.56,59.69
TR013130,Atto 3,115,Normal,coastal,light_rain,43,45.07,20.683,40,78.14,26.43
TR013131,Leaf,197,Normal,rural,sunny,303,41.91,32.018,40,73.13,0.0
TR013132,Atto 3,142,Normal,highway,monsoon,110,44.39,25.59,60,50.84,8.19
TR013133,Leaf,196,Normal,rural,sunny,283,39.36,31.448,60,49.02,0.0
TR013134,Model 3,123,Normal,rural,sunny,24,45.44,18.834,50,42.9,5.23
TR013135,Atto 3,209,Normal,highway,cloudy,229,50.09,34.986,40,66.52,0.0
TR013136,Model 3,145,Aggressive,highway,sunny,111,41.31,26.952,50,72.04,18.14
TR013137,ZS EV,239,Normal,highway,sunny,307,44.64,40.204,50,82.54,2.13
TR013138,Atto 3,277,Normal,coastal,sunny,170,36.28,47.284,75,75.57,12.53
TR013139,Atto 3,226,Aggressive,city,heavy_rain,193,47.56,55.982,40,68.77,0.0
TR013140,Model 3,109,Normal,city,light_rain,142,32.35,17.992,50,68.52,32.54
TR013141,Atto 3,85,Normal,rural,cloudy,83,27.27,14.543,40,57.27,20.91
TR013142,Leaf,36,Aggressive,coastal,light_rain,43,35.05,7.992,60,77.65,64.33
TR013143,Model 3,297,Normal,city,light_rain,327,39.66,48.452,60,93.34,12.59
TR013144,Leaf,184,Normal,city,monsoon,94,24.09,34.297,75,58.97,13.24
TR013145,ZS EV,201,Aggressive,highway,heavy_rain,122,48.18,48.126,60,80.93,0.72
TR013146,Model 3,257,Normal,rural,sunny,212,39.81,38.695,60,43.08,0.0
TR013147,Leaf,284,Aggressive,coastal,light_rain,162,31.61,62.418,40,69.3,0.0
TR013148,Model 3,138,Normal,rural,light_rain,35,56.21,21.978,40,71.2,16.25
TR013149,Atto 3,60,Aggressive,highway,sunny,88,16.09,12.972,40,40.56,8.13
TR013150,Model 3,239,Eco,rural,light_rain,317,46.55,32.491,60,84.96,30.81
TR013151,Leaf,167,Normal,city,cloudy,258,43.7,27.393,60,43.02,0.0
TR013152,Atto 3,102,Normal,coastal,sunny,82,42.23,17.928,60,48.14,18.26
TR013153,Atto 3,54,Normal,coastal,sunny,43,47.29,9.161,75,76.82,64.61
TR013154,Model 3,265,Aggressive,rural,heavy_rain,135,66.34,55.956,40,56.66,0.0
TR013155,Atto 3,140,Aggressive,rural,light_rain,105,39.68,31.863,40,72.55,0.0
TR013156,Atto 3,168,Aggressive,highway,sunny,62,58.4,34.582,60,40.88,0.0
TR013157,Leaf,196,Normal,highway,cloudy,72,52.63,30.073,75,42.84,2.74
TR013158,Atto 3,114,Aggressive,highway,cloudy,135,40.31,24.582,75,78.81,46.03
TR013159,Leaf,32,Aggressive,rural,cloudy,63,36.44,6.889,75,93.06,83.88
TR013160,Leaf,143,Normal,coastal,light_rain,149,58.69,24.26,60,93.01,52.58
TR013161,Model 3,41,Eco,highway,monsoon,25,39.71,6.029,60,83.73,73.68
TR013162,Leaf,76,Aggressive,rural,monsoon,15,45.34,17.9,40,95.6,50.85
TR013163,Model 3,352,Eco,city,sunny,316,43.37,49.223,40,74.91,0.0
TR013164,Model 3,103,Normal,city,cloudy,133,53.32,15.952,50,63.52,31.62
TR013165,Model 3,114,Aggressive,highway,sunny,119,38.2,20.662,75,50.78,23.23
TR013166,Atto 3,150,Normal,coastal,heavy_rain,138,37.07,28.85,50,86.66,28.96
TR013167,Atto 3,442,Normal,coastal,sunny,170,40.54,80.147,60,68.51,0.0
TR013168,Model 3,208,Aggressive,coastal,light_rain,163,41.86,42.882,60,46.55,0.0
TR013169,ZS EV,46,Normal,highway,sunny,34,46.72,7.775,40,63.49,44.05
TR013170,Leaf,144,Eco,coastal,heavy_rain,185,66.21,22.725,75,67.44,37.14
TR013171,Atto 3,112,Normal,coastal,monsoon,87,61.18,21.366,60,96.86,61.25
TR013172,Leaf,95,Normal,rural,cloudy,31,52.61,15.625,40,49.99,10.93
TR013173,Model 3,130,Normal,rural,light_rain,125,47.55,20.745,50,60.96,19.47
TR013174,Atto 3,203,Normal,highway,light_rain,175,38.46,33.616,50,44.93,0.0
TR013175,Leaf,46,Normal,coastal,cloudy,39,55.39,7.883,60,55.85,42.71
TR013176,Leaf,280,Eco,rural,sunny,167,63.67,40.784,40,63.08,0.0
TR013177,Model 3,224,Aggressive,city,cloudy,115,36.94,46.851,75,61.11,0.0
TR013178,ZS EV,79,Normal,rural,cloudy,52,43.77,14.559,50,52.33,23.21
TR013179,ZS EV,290,Eco,highway,heavy_rain,169,50.65,50.233,40,61.55,0.0
TR013180,Leaf,178,Normal,highway,light_rain,89,38.25,27.718,60,98.84,52.64
TR013181,Model 3,58,Aggressive,city,cloudy,81,46.7,11.916,50,65.95,42.12
TR013182,ZS EV,125,Normal,highway,sunny,80,49.12,21.429,40,79.11,25.54
TR013183,ZS EV,121,Normal,city,heavy_rain,103,51.47,25.603,60,49.73,7.06
TR013184,ZS EV,168,Aggressive,highway,sunny,135,32.5,38.477,50,53.91,0.0
TR013185,Model 3,107,Normal,city,monsoon,231,51.39,19.038,40,73.58,25.99
TR013186,Leaf,220,Normal,coastal,sunny,185,31.39,35.774,75,96.87,49.17
TR013187,ZS EV,153,Aggressive,highway,sunny,91,68.34,33.146,60,97.62,42.38
TR013188,ZS EV,178,Normal,highway,light_rain,114,25.91,30.86,40,98.31,21.16
TR013189,ZS EV,141,Aggressive,coastal,monsoon,124,26.64,38.061,60,76.97,13.53
TR013190,ZS EV,305,Normal,rural,sunny,278,41.72,56.039,40,40.95,0.0
TR013191,Model 3,90,Eco,rural,heavy_rain,21,44.02,13.177,50,54.8,28.45
TR013192,ZS EV,66,Normal,coastal,light_rain,28,41.48,12.529,40,77.64,46.32
TR013193,Atto 3,78,Normal,city,light_rain,59,49.6,14.896,60,76.95,52.12
TR013194,Atto 3,311,Normal,highway,sunny,68,44.27,50.348,75,98.19,31.06
TR013195,Atto 3,134,Normal,highway,cloudy,44,39.4,22.977,60,54.58,16.28
TR013196,Leaf,94,Normal,highway,light_rain,140,56.8,14.714,40,67.04,30.25
TR013197,Atto 3,314,Normal,coastal,light_rain,286,41.13,54.981,75,85.96,12.65
TR013198,Atto 3,131,Normal,rural,cloudy,88,41.05,22.984,40,64.12,6.66
TR013199,Atto 3,166,Aggressive,coastal,heavy_rain,220,45.01,41.957,75,55.42,0.0
TR013200,Atto 3,229,Aggressive,coastal,sunny,236,35.19,51.049,60,49.9,0.0
TR013201,ZS EV,245,Eco,rural,sunny,130,47.55,39.842,40,64.35,0.0
TR013202,Model 3,81,Aggressive,city,sunny,82,58.89,17.115,60,50.46,21.94
TR013203,ZS EV,111,Eco,rural,heavy_rain,80,44.91,19.708,60,70.2,37.35
TR013204,ZS EV,441,Eco,highway,light_rain,290,30.2,70.552,40,45.4,0.0
TR013205,Atto 3,64,Normal,rural,sunny,39,45.95,10.784,60,75.02,57.05
TR013206,Atto 3,427,Normal,highway,heavy_rain,495,34.57,75.13,40,82.05,0.0
TR013207,Leaf,368,Normal,rural,heavy_rain,172,54.34,63.377,75,80.2,0.0
TR013208,Leaf,173,Aggressive,rural,heavy_rain,134,41.9,39.389,50,87.77,8.99
TR013209,Model 3,510,Normal,city,cloudy,288,36.94,82.838,40,66.92,0.0
TR013210,Atto 3,85,Aggressive,rural,monsoon,36,38.94,20.449,40,48.97,0.0
TR013211,ZS EV,81,Normal,rural,heavy_rain,25,46.6,15.729,50,63.4,31.94
TR013212,Leaf,53,Normal,coastal,monsoon,91,28.07,9.876,50,78.45,58.7
TR013213,ZS EV,65,Eco,rural,cloudy,29,58.7,10.93,75,58.89,44.32
TR013214,Atto 3,47,Normal,coastal,cloudy,11,36.15,8.158,50,54.95,38.63
TR013215,Atto 3,116,Normal,highway,light_rain,108,51.68,19.207,40,67.45,19.43
TR013216,ZS EV,165,Aggressive,highway,cloudy,46,35.73,37.932,50,80.68,4.82
TR013217,Model 3,291,Normal,coastal,cloudy,243,37.31,45.899,75,55.75,0.0
TR013218,ZS EV,84,Eco,coastal,monsoon,143,32.76,16.355,75,93.66,71.85
TR013219,ZS EV,250,Normal,city,sunny,152,45.69,48.527,60,64.05,0.0
TR013220,Leaf,102,Normal,coastal,heavy_rain,134,44.41,18.258,40,78.28,32.64
TR013221,Model 3,54,Normal,city,cloudy,27,35.23,8.783,60,92.47,77.83
TR013222,Leaf,334,Normal,city,heavy_rain,251,36.86,60.907,50,70.63,0.0
TR013223,Atto 3,127,Aggressive,rural,sunny,149,30.04,28.275,75,96.05,58.35
TR013224,ZS EV,129,Normal,rural,heavy_rain,131,51.76,24.208,50,52.08,3.66
TR013225,ZS EV,212,Aggressive,coastal,sunny,210,51.24,50.475,50,45.26,0.0
TR013226,Model 3,66,Normal,rural,light_rain,29,51.14,10.245,75,94.6,80.94
TR013227,Atto 3,53,Normal,highway,sunny,21,45.26,8.745,75,59.82,48.16
TR013228,ZS EV,170,Aggressive,highway,sunny,232,36.37,38.003,40,64.07,0.0
TR013229,Leaf,114,Normal,highway,cloudy,121,47.41,17.669,75,79.31,55.75
TR013230,Model 3,89,Normal,coastal,monsoon,90,26.64,15.368,75,80.07,59.58
TR013231,Leaf,118,Normal,highway,sunny,68,64.3,18.093,50,68.77,32.58
TR013232,Leaf,184,Aggressive,rural,sunny,288,44.09,38.957,75,52.31,0.37
TR013233,Atto 3,150,Normal,highway,heavy_rain,89,49.47,26.69,75,72.31,36.72
TR013234,Leaf,54,Normal,coastal,cloudy,135,56.94,9.071,75,81.68,69.59
TR013235,Atto 3,72,Normal,rural,light_rain,22,47.9,12.534,75,76.66,59.95
TR013236,ZS EV,60,Eco,rural,monsoon,45,32.81,11.076,50,80.0,57.85
TR013237,Atto 3,223,Normal,city,heavy_rain,280,57.06,43.767,60,92.56,19.61
TR013238,Model 3,126,Normal,coastal,monsoon,53,34.69,21.493,40,92.2,38.47
TR013239,Atto 3,329,Normal,coastal,light_rain,286,58.31,59.655,50,41.7,0.0
TR013240,Model 3,315,Normal,coastal,monsoon,129,66.57,55.951,40,92.62,0.0
TR013241,Atto 3,201,Aggressive,city,light_rain,222,52.23,50.027,60,85.4,2.02
TR013242,Model 3,48,Normal,highway,cloudy,17,50.84,6.688,40,74.36,57.64
TR013243,Atto 3,152,Normal,rural,light_rain,147,45.23,26.163,50,84.62,32.29
TR013244,ZS EV,162,Normal,rural,sunny,33,59.7,28.981,40,73.73,1.28
TR013245,Leaf,48,Normal,highway,sunny,26,41.82,7.466,50,63.71,48.78
TR013246,Model 3,219,Normal,coastal,heavy_rain,207,55.25,36.162,75,55.84,7.62
TR013247,Leaf,164,Eco,rural,cloudy,201,56.74,24.003,60,62.38,22.37
TR013248,Model 3,139,Aggressive,rural,cloudy,165,37.64,27.576,50,69.96,14.81
TR013249,Model 3,58,Normal,highway,heavy_rain,76,43.75,9.113,60,93.79,78.6
TR013250,Leaf,199,Eco,rural,monsoon,254,51.91,32.289,40,97.96,17.24
TR013251,Atto 3,354,Eco,rural,light_rain,394,43.95,56.819,60,71.63,0.0
TR013252,Leaf,286,Normal,highway,sunny,310,58.15,43.079,60,98.68,26.88
TR013253,Atto 3,48,Normal,city,cloudy,85,34.71,8.615,40,56.37,34.83
TR013254,Leaf,208,Aggressive,coastal,cloudy,111,39.43,42.998,40,68.48,0.0
TR013255,Model 3,162,Normal,highway,cloudy,144,43.71,23.377,75,75.17,44.0
TR013256,Model 3,479,Eco,rural,cloudy,84,46.34,63.286,50,96.27,0.0
TR013257,Leaf,128,Eco,coastal,sunny,101,48.52,18.668,50,92.63,55.29
TR013258,Model 3,152,Normal,coastal,cloudy,91,45.2,22.988,75,55.79,25.14
TR013259,Atto 3,54,Aggressive,coastal,light_rain,99,37.01,12.78,50,70.66,45.1
TR013260,Atto 3,56,Normal,rural,monsoon,19,44.88,10.421,40,93.96,67.91
TR013261,Model 3,41,Normal,coastal,sunny,72,30.93,6.207,75,79.31,71.03
TR013262,ZS EV,152,Normal,rural,cloudy,63,56.42,26.759,75,49.76,14.08
TR013263,Leaf,187,Normal,city,sunny,253,31.68,30.795,60,51.17,0.0
TR013264,ZS EV,122,Eco,rural,cloudy,135,53.36,20.091,40,84.55,34.32
TR013265,Leaf,135,Normal,highway,sunny,172,43.73,20.821,40,94.88,42.83
TR013266,Leaf,202,Normal,rural,light_rain,185,38.44,34.384,50,69.39,0.62
TR013267,Leaf,84,Normal,city,cloudy,105,39.41,14.198,40,71.0,35.51
TR013268,Model 3,434,Eco,city,sunny,479,41.89,61.267,50,63.12,0.0
TR013269,Model 3,159,Aggressive,highway,sunny,87,75.84,30.184,40,42.86,0.0
TR013270,Atto 3,188,Normal,city,heavy_rain,189,44.13,35.67,60,97.93,38.48
TR013271,ZS EV,121,Aggressive,city,heavy_rain,113,46.03,32.462,40,50.31,0.0
TR013272,Atto 3,55,Normal,highway,heavy_rain,29,40.01,9.489,50,69.89,50.91
TR013273,ZS EV,150,Normal,highway,cloudy,187,23.61,26.151,40,85.51,20.13
TR013274,Model 3,109,Normal,city,cloudy,123,65.28,17.726,50,80.46,45.01
TR013275,ZS EV,436,Normal,highway,sunny,168,50.22,73.551,75,57.02,0.0
TR013276,Model 3,66,Eco,rural,sunny,20,54.11,9.114,50,57.34,39.11
TR013277,Atto 3,62,Normal,city,cloudy,86,55.12,12.067,60,45.15,25.04
TR013278,Model 3,151,Eco,city,cloudy,34,40.07,21.279,75,70.88,42.51
TR013279,Leaf,71,Eco,rural,sunny,20,41.83,10.118,40,82.62,57.33
TR013280,Leaf,147,Normal,highway,sunny,169,47.83,22.464,50,46.5,1.57
TR013281,Model 3,293,Aggressive,rural,light_rain,104,64.92,59.244,40,48.23,0.0
TR013282,ZS EV,135,Eco,coastal,sunny,142,45.49,21.944,50,79.86,35.97
TR013283,Atto 3,52,Normal,highway,light_rain,125,46.16,8.552,40,41.38,20.0
TR013284,Atto 3,126,Normal,highway,sunny,188,56.77,20.212,50,81.19,40.77
TR013285,Atto 3,161,Aggressive,coastal,sunny,182,44.46,35.877,60,48.82,0.0
TR013286,Leaf,57,Aggressive,coastal,cloudy,24,59.99,12.221,75,94.67,78.38
TR013287,Atto 3,54,Aggressive,coastal,sunny,75,32.92,12.183,75,49.88,33.64
TR013288,Atto 3,320,Aggressive,coastal,light_rain,335,50.02,73.92,75,92.66,0.0
TR013289,ZS EV,165,Normal,city,cloudy,248,59.5,31.457,50,76.13,13.22
TR013290,ZS EV,153,Eco,rural,light_rain,43,66.23,25.051,50,76.02,25.92
TR013291,ZS EV,95,Aggressive,highway,sunny,121,44.56,21.468,75,96.64,68.02
TR013292,Atto 3,301,Aggressive,coastal,cloudy,121,54.24,69.053,60,88.78,0.0
TR013293,ZS EV,256,Normal,city,cloudy,304,51.07,49.776,50,52.13,0.0
TR013294,Model 3,45,Eco,highway,sunny,38,41.01,5.922,50,78.11,66.27
TR013295,Model 3,54,Normal,highway,cloudy,41,42.9,7.59,40,66.29,47.31
TR013296,Atto 3,121,Eco,rural,cloudy,32,45.23,18.963,50,72.15,34.22
TR013297,Atto 3,177,Normal,highway,sunny,71,52.49,29.384,75,60.29,21.11
TR013298,ZS EV,51,Normal,rural,sunny,30,27.93,9.251,50,50.39,31.89
TR013299,Leaf,168,Normal,coastal,monsoon,78,60.18,31.548,40,90.44,11.57
TR013300,Leaf,257,Eco,rural,heavy_rain,199,35.31,39.642,60,81.51,15.44
TR013301,Model 3,140,Normal,highway,cloudy,82,58.36,20.177,60,57.81,24.18
TR013302,Atto 3,140,Eco,coastal,heavy_rain,197,40.67,24.057,40,75.83,15.69
TR013303,Atto 3,109,Normal,coastal,light_rain,68,34.38,19.425,60,58.26,25.88
TR013304,ZS EV,91,Normal,highway,sunny,51,56.76,15.578,40,69.38,30.44
TR013305,ZS EV,259,Normal,rural,sunny,258,35.69,45.733,75,61.41,0.43
TR013306,Model 3,333,Normal,city,light_rain,266,64.35,55.607,50,66.52,0.0
TR013307,Atto 3,76,Eco,city,cloudy,96,41.28,12.349,40,71.06,40.19
TR013308,Model 3,170,Aggressive,rural,cloudy,174,52.92,33.615,50,79.46,12.23
TR013309,Model 3,166,Normal,rural,sunny,129,43.66,24.396,75,81.74,49.21
TR013310,Atto 3,58,Eco,rural,sunny,47,50.04,9.115,50,60.78,42.55
TR013311,Leaf,162,Eco,rural,monsoon,137,26.74,26.037,40,54.04,0.0
TR013312,Leaf,232,Normal,city,cloudy,216,37.96,38.881,50,80.44,2.68
TR013313,Model 3,185,Normal,highway,cloudy,133,58.3,26.63,75,51.15,15.64
TR013314,ZS EV,65,Normal,city,cloudy,25,56.11,12.395,40,65.27,34.28
TR013315,Model 3,175,Normal,city,heavy_rain,151,32.57,29.674,50,76.97,17.62
TR013316,Model 3,157,Normal,rural,heavy_rain,102,32.99,25.997,50,63.09,11.1
TR013317,Atto 3,145,Normal,rural,sunny,49,56.7,25.355,75,51.79,17.98
TR013318,ZS EV,63,Normal,coastal,sunny,12,45.33,11.352,60,69.77,50.85
TR013319,Leaf,256,Normal,rural,monsoon,169,38.95,44.412,60,85.76,11.74
TR013320,ZS EV,213,Aggressive,rural,monsoon,90,54.43,57.3,40,66.9,0.0
